              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 17:34:16 (8/10/2025)
DRT4 Serial Number: #3173
Comment: 

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2



4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0	 17.6	  0.0 
2	0	0	1	 23.9	  0.0 
3	0	0	2	 24.6	  0.0 
4	0	0	3	 17.1	  0.0 
5	0	0	4	 16.3	  0.0 
6	0	0	5	 12.9	  0.0 
7	0	0	6	 15.9	  0.0 
8	0	0	7	 18.6	  0.0 
9	0	0	8	 13.4	  0.0 
10	0	0	9	 12.8	  0.0 
11	0	0	10	 14.7	  0.0 
12	0	0	11	 20.9	  0.0 
13	0	0	12	 15.0	  0.0 
14	0	0	13	 17.0	  0.0 
15	0	0	14	 17.0	  0.0 
16	0	0	15	 11.0	  0.0 
17	0	0	16	 12.2	  0.0 
18	0	0	17	 14.6	  0.0 
19	0	0	18	 17.1	  0.0 
20	0	0	19	 17.0	  0.0 
21	0	0	20	 22.2	  0.0 
22	0	0	21	 23.8	  0.0 
23	0	0	22	 20.5	  0.0 
24	0	0	23	 20.5	  0.0 
25	0	0	24	 23.1	  0.0 
26	0	0	25	 23.5	  0.0 
27	0	0	26	 23.9	  0.0 
28	0	0	27	 26.6	  0.0 
29	0	0	28	 22.6	  0.0 
30	0	0	29	 20.8	  0.0 
31	0	0	30	 16.5	  0.0 
32	0	0	31	 22.1	  0.0 
33	0	0	32	 19.5	  0.0 
34	0	0	33	 21.6	  0.0 
35	0	0	34	 21.3	  0.0 
36	0	0	35	 23.7	  0.0 
37	0	0	36	 18.7	  0.0 
38	0	0	37	 15.9	  0.0 
39	0	0	38	 15.4	  0.0 
40	0	0	39	 22.4	  0.0 
41	0	0	40	 14.8	  0.0 
42	0	0	41	 15.7	  0.0 
43	0	0	42	 13.4	  0.0 
44	0	0	43	 15.8	  0.0 
45	0	0	44	 19.5	  0.0 
46	0	0	45	 14.9	  0.0 
47	0	0	46	 12.3	  0.0 
48	0	0	47	 17.3	  0.0 
49	0	0	48	 18.5	  0.0 
50	0	0	49	 14.4	  0.0 
51	0	0	50	 10.9	  0.0 
52	0	0	51	 16.3	  0.0 
53	0	0	52	 14.1	  0.0 
54	0	0	53	 12.8	  0.0 
55	0	0	54	 14.2	  0.0 
56	0	0	55	 12.7	  0.0 
57	0	0	56	 11.6	  0.0 
58	0	0	57	 14.8	  0.0 
59	0	0	58	 12.7	  0.0 
60	0	0	59	 14.1	  0.0 
61	0	1	0	 16.1	  0.0 
62	0	1	1	 21.6	  0.0 
63	0	1	2	 14.1	  0.0 
64	0	1	3	 10.6	  0.0 
65	0	1	4	 10.4	  0.0 
66	0	1	5	 15.9	  0.0 
67	0	1	6	 11.5	  0.0 
68	0	1	7	 12.1	  0.0 
69	0	1	8	 13.1	  0.0 
70	0	1	9	 15.2	  0.0 
71	0	1	10	  8.5	  0.0 
72	0	1	11	 12.1	  0.0 
73	0	1	12	 12.2	  0.0 
74	0	1	13	 16.2	  0.0 
75	0	1	14	 19.8	  0.0 
76	0	1	15	  8.2	  0.0 
77	0	1	16	 14.4	  0.0 
78	0	1	17	 13.0	  0.0 
79	0	1	18	  9.9	  0.0 
80	0	1	19	 11.0	  0.0 
81	0	1	20	 10.7	  0.0 
82	0	1	21	  9.1	  0.0 
83	0	1	22	  9.3	  0.0 
84	0	1	23	  8.6	  0.0 
85	0	1	24	 10.7	  0.0 
86	0	1	25	  9.4	  0.0 
87	0	1	26	  8.4	  0.0 
88	0	1	27	  9.7	  0.0 
89	0	1	28	  9.2	  0.0 
90	0	1	29	  9.3	  0.0 
91	0	1	30	 10.0	  0.0 
92	0	1	31	  8.9	  0.0 
93	0	1	32	  7.8	  0.0 
94	0	1	33	  8.6	  0.0 
95	0	1	34	 10.0	  0.0 
96	0	1	35	  9.7	  0.0 
97	0	1	36	  8.0	  0.0 
98	0	1	37	  6.3	  0.0 
99	0	1	38	 10.2	  0.0 
100	0	1	39	  7.0	  0.0 
101	0	1	40	  7.8	  0.0 
102	0	1	41	  8.1	  0.0 
103	0	1	42	  8.4	  0.0 
104	0	1	43	  4.8	  0.0 
105	0	1	44	  5.9	  0.0 
106	0	1	45	  5.8	  0.0 
107	0	1	46	  8.1	  0.0 
108	0	1	47	  5.7	  0.0 
109	0	1	48	  8.0	  0.0 
110	0	1	49	  6.2	  0.0 
111	0	1	50	  7.0	  0.0 
112	0	1	51	  5.9	  0.0 
113	0	1	52	  6.1	  0.0 
114	0	1	53	  6.6	  0.0 
115	0	1	54	  5.2	  0.0 
116	0	1	55	  3.2	  0.0 
117	0	1	56	  5.2	  0.0 
118	0	1	57	  7.6	  0.0 
119	0	1	58	  4.4	  0.0 
120	0	1	59	  4.3	  0.0 
121	0	2	0	 10.9	  0.0 
122	0	2	1	 27.2	  0.0 
123	0	2	2	 19.8	  0.0 
124	0	2	3	 21.6	  0.0 
125	0	2	4	 38.5	  0.0 
126	0	2	5	 33.1	  0.0 
127	0	2	6	 33.2	  0.0 
128	0	2	7	 27.9	  0.0 
129	0	2	8	 25.0	  0.0 
130	0	2	9	 15.2	  0.0 
131	0	2	10	 13.1	  0.0 
132	0	2	11	 29.8	  0.0 
133	0	2	12	 15.0	  0.0 
134	0	2	13	 18.4	  0.0 
135	0	2	14	 33.8	  0.0 
136	0	2	15	 27.8	  0.0 
137	0	2	16	 23.7	  0.0 
138	0	2	17	 50.3	  0.0 
139	0	2	18	 66.3	  0.0 
140	0	2	19	 38.8	  0.0 
141	0	2	20	 22.9	  0.0 
142	0	2	21	 24.6	  0.0 
143	0	2	22	 25.8	  0.0 
144	0	2	23	 22.0	  0.0 
145	0	2	24	 15.5	  0.0 
146	0	2	25	 20.3	  0.0 
147	0	2	26	 17.7	  0.0 
148	0	2	27	 30.3	  0.0 
149	0	2	28	 41.7	  0.0 
150	0	2	29	 64.3	  0.0 
151	0	2	30	 54.2	  0.0 
152	0	2	31	 45.3	  0.0 
153	0	2	32	 29.8	  0.0 
154	0	2	33	 24.4	  0.0 
155	0	2	34	 21.1	  0.0 
156	0	2	35	 24.1	  0.0 
157	0	2	36	 20.1	  0.0 
158	0	2	37	 12.4	  0.0 
159	0	2	38	 21.4	  0.0 
160	0	2	39	 32.8	  0.0 
161	0	2	40	 47.1	  0.0 
162	0	2	41	 72.0	  0.0 
163	0	2	42	 44.2	  0.0 
164	0	2	43	 32.5	  0.0 
165	0	2	44	 26.1	  0.0 
166	0	2	45	 19.9	  0.0 
167	0	2	46	 18.2	  0.0 
168	0	2	47	 22.2	  0.0 
169	0	2	48	 14.1	  0.0 
170	0	2	49	 14.7	  0.0 
171	0	2	50	 16.6	  0.0 
172	0	2	51	 22.8	  0.0 
173	0	2	52	 24.2	  0.0 
174	0	2	53	 32.9	  0.0 
175	0	2	54	 65.4	  0.0 
176	0	2	55	 29.6	  0.0 
177	0	2	56	 24.0	  0.0 
178	0	2	57	 21.4	  0.0 
179	0	2	58	 20.3	  0.0 
180	0	2	59	 19.2	  0.0 
181	0	3	0	 21.0	  0.0 
182	0	3	1	 26.6	  0.0 
183	0	3	2	 33.6	  0.0 
184	0	3	3	 35.3	  0.0 
185	0	3	4	 35.2	  0.0 
186	0	3	5	128.2	  0.0 
187	0	3	6	114.8	  0.0 
188	0	3	7	 52.4	  0.0 
189	0	3	8	 24.4	  0.0 
190	0	3	9	 32.7	  0.0 
191	0	3	10	 21.7	  0.0 
192	0	3	11	 61.2	  0.0 
193	0	3	12	 41.1	  0.0 
194	0	3	13	 53.6	  0.0 
195	0	3	14	 37.2	  0.0 
196	0	3	15	 40.0	  0.0 
197	0	3	16	 54.8	  0.0 
198	0	3	17	 73.7	  0.0 
199	0	3	18	103.6	  0.0 
200	0	3	19	 47.1	  0.0 
201	0	3	20	 30.8	  0.0 
202	0	3	21	 26.1	  0.0 
203	0	3	22	 24.9	  0.0 
204	0	3	23	 23.5	  0.0 
205	0	3	24	 43.7	  0.0 
206	0	3	25	 59.3	  0.0 
207	0	3	26	 53.4	  0.0 
208	0	3	27	 54.8	  0.0 
209	0	3	28	 53.0	  0.0 
210	0	3	29	 70.4	  0.0 
211	0	3	30	146.5	  0.0 
212	0	3	31	 54.2	  0.0 
213	0	3	32	 35.7	  0.0 
214	0	3	33	 17.9	  0.0 
215	0	3	34	 16.7	  0.0 
216	0	3	35	 17.6	  0.0 
217	0	3	36	 27.2	  0.0 
218	0	3	37	 53.2	  0.0 
219	0	3	38	 41.0	  0.0 
220	0	3	39	 32.3	  0.0 
221	0	3	40	 44.6	  0.0 
222	0	3	41	 62.1	  0.0 
223	0	3	42	144.8	  0.0 
224	0	3	43	 79.6	  0.0 
225	0	3	44	 68.4	  0.0 
226	0	3	45	 76.6	  0.0 
227	0	3	46	 36.3	  0.0 
228	0	3	47	 19.4	  0.0 
229	0	3	48	 40.5	  0.0 
230	0	3	49	 49.6	  0.0 
231	0	3	50	 32.3	  0.0 
232	0	3	51	 43.8	  0.0 
233	0	3	52	 52.1	  0.0 
234	0	3	53	128.4	  0.0 
235	0	3	54	 86.8	  0.0 
236	0	3	55	 61.1	  0.0 
237	0	3	56	 64.8	  0.0 
238	0	3	57	 21.4	  0.0 
239	0	3	58	 23.4	  0.0 
240	0	3	59	 11.1	  0.0 
241	0	4	0	 90.6	  0.0 
242	0	4	1	 70.3	  0.0 
243	0	4	2	 66.1	  0.0 
244	0	4	3	 76.1	  0.0 
245	0	4	4	 55.3	  0.0 
246	0	4	5	 95.5	  0.0 
247	0	4	6	156.0	  0.0 
248	0	4	7	 81.9	  0.0 
249	0	4	8	 27.9	  0.0 
250	0	4	9	 19.8	  0.0 
251	0	4	10	 28.5	  0.0 
252	0	4	11	 33.1	  0.0 
253	0	4	12	 49.7	  0.0 
254	0	4	13	 51.0	  0.0 
255	0	4	14	 55.7	  0.0 
256	0	4	15	 49.5	  0.0 
257	0	4	16	 57.5	  0.0 
258	0	4	17	 71.2	  0.0 
259	0	4	18	140.4	  0.0 
260	0	4	19	 65.5	  0.0 
261	0	4	20	 43.1	  0.0 
262	0	4	21	 46.8	  0.0 
263	0	4	22	 51.4	  0.0 
264	0	4	23	 76.6	  0.0 
265	0	4	24	 58.2	  0.0 
266	0	4	25	 60.4	  0.0 
267	0	4	26	 60.8	  0.0 
268	0	4	27	 90.0	  0.0 
269	0	4	28	 97.3	  0.0 
270	0	4	29	 68.8	  0.0 
271	0	4	30	104.0	  0.0 
272	0	4	31	125.7	  0.0 
273	0	4	32	 44.9	  0.0 
274	0	4	33	 19.1	  0.0 
275	0	4	34	 21.0	  0.0 
276	0	4	35	 25.9	  0.0 
277	0	4	36	 32.9	  0.0 
278	0	4	37	 53.2	  0.0 
279	0	4	38	 63.3	  0.0 
280	0	4	39	 76.5	  0.0 
281	0	4	40	 83.1	  0.0 
282	0	4	41	115.2	  0.0 
283	0	4	42	170.0	  0.0 
284	0	4	43	 63.2	  0.0 
285	0	4	44	 25.4	  0.0 
286	0	4	45	 17.4	  0.0 
287	0	4	46	 18.5	  0.0 
288	0	4	47	 13.2	  0.0 
289	0	4	48	 36.3	  0.0 
290	0	4	49	 43.2	  0.0 
291	0	4	50	 62.6	  0.0 
292	0	4	51	104.3	  0.0 
293	0	4	52	 62.9	  0.0 
294	0	4	53	 79.6	  0.0 
295	0	4	54	119.7	  0.0 
296	0	4	55	110.5	  0.0 
297	0	4	56	 30.1	  0.0 
298	0	4	57	 13.7	  0.0 
299	0	4	58	 15.8	  0.0 
300	0	4	59	 23.5	  0.0 
301	0	5	0	 41.6	  0.0 
302	0	5	1	 40.2	  0.0 
303	0	5	2	 31.2	  0.0 
304	0	5	3	 35.7	  0.0 
305	0	5	4	 35.1	  0.0 
306	0	5	5	 33.0	  0.0 
307	0	5	6	 31.0	  0.0 
308	0	5	7	 32.8	  0.0 
309	0	5	8	 31.9	  0.0 
310	0	5	9	 33.3	  0.0 
311	0	5	10	 39.0	  0.0 
312	0	5	11	 35.1	  0.0 
313	0	5	12	 32.6	  0.0 
314	0	5	13	 27.4	  0.0 
315	0	5	14	 32.7	  0.0 
316	0	5	15	 39.1	  0.0 
317	0	5	16	 37.8	  0.0 
318	0	5	17	 35.0	  0.0 
319	0	5	18	 31.8	  0.0 
320	0	5	19	 33.5	  0.0 
321	0	5	20	 30.9	  0.0 
322	0	5	21	 37.3	  0.0 
323	0	5	22	 46.1	  0.0 
324	0	5	23	 50.0	  0.0 
325	0	5	24	 45.9	  0.0 
326	0	5	25	 39.8	  0.0 
327	0	5	26	 40.3	  0.0 
328	0	5	27	 35.1	  0.0 
329	0	5	28	 30.6	  0.0 
330	0	5	29	 32.6	  0.0 
331	0	5	30	 38.0	  0.0 
332	0	5	31	 43.8	  0.0 
333	0	5	32	 40.3	  0.0 
334	0	5	33	 30.8	  0.0 
335	0	5	34	 36.4	  0.0 
336	0	5	35	 41.7	  0.0 
337	0	5	36	 40.9	  0.0 
338	0	5	37	 36.8	  0.0 
339	0	5	38	 38.8	  0.0 
340	0	5	39	 40.8	  0.0 
341	0	5	40	 36.0	  0.0 
342	0	5	41	 38.1	  0.0 
343	0	5	42	 40.1	  0.0 
344	0	5	43	 38.9	  0.0 
345	0	5	44	 37.9	  0.0 
346	0	5	45	 40.2	  0.0 
347	0	5	46	 36.9	  0.0 
348	0	5	47	 36.9	  0.0 
349	0	5	48	 39.2	  0.0 
350	0	5	49	 36.9	  0.0 
351	0	5	50	 45.1	  0.0 
352	0	5	51	 41.7	  0.0 
353	0	5	52	 43.1	  0.0 
354	0	5	53	 42.3	  0.0 
355	0	5	54	 38.2	  0.0 
356	0	5	55	 37.7	  0.0 
357	0	5	56	 40.8	  0.0 
358	0	5	57	 39.8	  0.0 
359	0	5	58	 35.0	  0.0 
360	0	5	59	 44.7	  0.0 
361	0	6	0	 40.6	  0.0 
362	0	6	1	 44.4	  0.0 
363	0	6	2	 37.9	  0.0 
364	0	6	3	 46.3	  0.0 
365	0	6	4	 40.6	  0.0 
366	0	6	5	 35.1	  0.0 
367	0	6	6	 36.7	  0.0 
368	0	6	7	 41.5	  0.0 
369	0	6	8	 42.6	  0.0 
370	0	6	9	 40.4	  0.0 
371	0	6	10	 36.2	  0.0 
372	0	6	11	 38.1	  0.0 
