              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: Cherrie Pulley
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 16:49:13 (29/9/2025)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0	 25.8	  0.0 
2	0	0	1	 29.5	  0.0 
3	0	0	2	 19.1	  0.0 
4	0	0	3	 24.8	  0.0 
5	0	0	4	 16.3	  0.0 
6	0	0	5	 21.2	  0.0 
7	0	0	6	 35.8	  0.0 
8	0	0	7	 35.4	  0.0 
9	0	0	8	 38.1	  0.0 
10	0	0	9	 22.8	  0.0 
11	0	0	10	 23.1	  0.0 
12	0	0	11	 22.2	  0.0 
13	0	0	12	 27.4	  0.0 
14	0	0	13	 30.5	  0.0 
15	0	0	14	 25.8	  0.0 
16	0	0	15	 28.3	  0.0 
17	0	0	16	 31.1	  0.0 
18	0	0	17	 28.8	  0.0 
19	0	0	18	 22.6	  0.0 
20	0	0	19	 26.8	  0.0 
21	0	0	20	 27.2	  0.0 
22	0	0	21	 33.8	  0.0 
23	0	0	22	 25.3	  0.0 
24	0	0	23	 23.8	  0.0 
25	0	0	24	 25.2	  0.0 
26	0	0	25	 25.4	  0.0 
27	0	0	26	 23.8	  0.0 
28	0	0	27	 25.3	  0.0 
29	0	0	28	 23.4	  0.0 
30	0	0	29	 30.8	  0.0 
31	0	0	30	 25.0	  0.0 
32	0	0	31	 25.4	  0.0 
33	0	0	32	 23.6	  0.0 
34	0	0	33	 15.1	  0.0 
35	0	0	34	 16.2	  0.0 
36	0	0	35	 19.9	  0.0 
37	0	0	36	 20.1	  0.0 
38	0	0	37	 19.5	  0.0 
39	0	0	38	 23.4	  0.0 
40	0	0	39	 19.9	  0.0 
41	0	0	40	 25.1	  0.0 
42	0	0	41	 23.4	  0.0 
43	0	0	42	 15.6	  0.0 
44	0	0	43	 19.9	  0.0 
45	0	0	44	 27.0	  0.0 
46	0	0	45	 20.7	  0.0 
47	0	0	46	 21.2	  0.0 
48	0	0	47	 18.4	  0.0 
49	0	0	48	 24.1	  0.0 
50	0	0	49	 20.2	  0.0 
51	0	0	50	 21.7	  0.0 
52	0	0	51	 28.0	  0.0 
53	0	0	52	 14.8	  0.0 
54	0	0	53	 20.8	  0.0 
55	0	0	54	 24.5	  0.0 
56	0	0	55	 22.8	  0.0 
57	0	0	56	 21.1	  0.0 
58	0	0	57	 23.4	  0.0 
59	0	0	58	 18.6	  0.0 
60	0	0	59	 19.8	  0.0 
61	0	1	0	 13.8	  0.0 
62	0	1	1	 18.6	  0.0 
63	0	1	2	 22.2	  0.0 
64	0	1	3	 20.1	  0.0 
65	0	1	4	 18.9	  0.0 
66	0	1	5	 24.4	  0.0 
67	0	1	6	 17.4	  0.0 
68	0	1	7	 20.3	  0.0 
69	0	1	8	 19.9	  0.0 
70	0	1	9	 20.7	  0.0 
71	0	1	10	 19.8	  0.0 
72	0	1	11	 19.4	  0.0 
73	0	1	12	 20.0	  0.0 
74	0	1	13	 16.5	  0.0 
75	0	1	14	 17.8	  0.0 
76	0	1	15	 24.9	  0.0 
77	0	1	16	 21.9	  0.0 
78	0	1	17	 25.7	  0.0 
79	0	1	18	 25.4	  0.0 
80	0	1	19	 24.1	  0.0 
81	0	1	20	 21.9	  0.0 
82	0	1	21	 24.5	  0.0 
83	0	1	22	 19.6	  0.0 
84	0	1	23	 19.9	  0.0 
85	0	1	24	 21.9	  0.0 
86	0	1	25	 20.5	  0.0 
87	0	1	26	 23.0	  0.0 
88	0	1	27	 23.1	  0.0 
89	0	1	28	 22.7	  0.0 
90	0	1	29	 26.3	  0.0 
91	0	1	30	 22.6	  0.0 
92	0	1	31	 24.2	  0.0 
93	0	1	32	 24.6	  0.0 
94	0	1	33	 25.2	  0.0 
95	0	1	34	 29.5	  0.0 
96	0	1	35	 21.8	  0.0 
97	0	1	36	 23.8	  0.0 
98	0	1	37	 24.2	  0.0 
99	0	1	38	 26.5	  0.0 
100	0	1	39	 17.9	  0.0 
101	0	1	40	 22.5	  0.0 
102	0	1	41	 18.2	  0.0 
103	0	1	42	 20.4	  0.0 
104	0	1	43	 12.4	  0.0 
105	0	1	44	 17.4	  0.0 
106	0	1	45	 19.6	  0.0 
107	0	1	46	 22.4	  0.0 
108	0	1	47	 22.8	  0.0 
109	0	1	48	 25.6	  0.0 
110	0	1	49	 22.0	  0.0 
111	0	1	50	 17.8	  0.0 
112	0	1	51	 30.9	  0.0 
113	0	1	52	 30.6	  0.0 
114	0	1	53	 31.1	  0.0 
115	0	1	54	 24.0	  0.0 
116	0	1	55	 24.2	  0.0 
117	0	1	56	 22.9	  0.0 
118	0	1	57	 27.0	  0.0 
119	0	1	58	 30.0	  0.0 
120	0	1	59	 20.2	  0.0 
121	0	2	0	 11.6	  0.0 
122	0	2	1	  6.7	  0.0 
123	0	2	2	  8.1	  0.0 
124	0	2	3	  5.7	  0.0 
125	0	2	4	 15.8	  0.0 
126	0	2	5	 28.3	  0.0 
127	0	2	6	 56.3	  0.0 
128	0	2	7	 31.9	  0.0 
129	0	2	8	 27.0	  0.0 
130	0	2	9	 12.7	  0.0 
131	0	2	10	 20.4	  0.0 
132	0	2	11	 23.1	  0.0 
133	0	2	12	 33.3	  0.0 
134	0	2	13	 27.1	  0.0 
135	0	2	14	 34.1	  0.0 
136	0	2	15	 50.3	  0.0 
137	0	2	16	 58.0	  0.0 
138	0	2	17	 59.2	  0.0 
139	0	2	18	 35.8	  0.0 
140	0	2	19	 44.5	  0.0 
141	0	2	20	 39.2	  0.0 
142	0	2	21	 28.5	  0.0 
143	0	2	22	 31.1	  0.0 
144	0	2	23	 34.2	  0.0 
145	0	2	24	 27.9	  0.0 
146	0	2	25	 30.1	  0.0 
147	0	2	26	 26.3	  0.0 
148	0	2	27	 30.1	  0.0 
149	0	2	28	 63.4	  0.0 
150	0	2	29	 55.3	  0.0 
151	0	2	30	 37.6	  0.0 
152	0	2	31	 54.3	  0.0 
153	0	2	32	 52.5	  0.0 
154	0	2	33	 36.2	  0.0 
155	0	2	34	 46.2	  0.0 
156	0	2	35	 49.5	  0.0 
157	0	2	36	 31.9	  0.0 
158	0	2	37	 31.8	  0.0 
159	0	2	38	 33.4	  0.0 
160	0	2	39	 36.7	  0.0 
161	0	2	40	 63.8	  0.0 
162	0	2	41	 43.0	  0.0 
163	0	2	42	 41.8	  0.0 
164	0	2	43	 46.2	  0.0 
165	0	2	44	 54.9	  0.0 
166	0	2	45	 43.6	  0.0 
167	0	2	46	 44.4	  0.0 
168	0	2	47	 49.9	  0.0 
169	0	2	48	 29.6	  0.0 
170	0	2	49	 37.1	  0.0 
171	0	2	50	 26.5	  0.0 
172	0	2	51	 33.4	  0.0 
173	0	2	52	 45.5	  0.0 
174	0	2	53	 64.6	  0.0 
175	0	2	54	 48.5	  0.0 
176	0	2	55	 57.3	  0.0 
177	0	2	56	 50.4	  0.0 
178	0	2	57	 45.2	  0.0 
179	0	2	58	 42.0	  0.0 
180	0	2	59	 38.4	  0.0 
181	0	3	0	 15.1	  0.0 
182	0	3	1	 34.3	  0.0 
183	0	3	2	 75.4	  0.0 
184	0	3	3	 61.9	  0.0 
185	0	3	4	 76.8	  0.0 
186	0	3	5	102.8	  0.0 
187	0	3	6	 99.8	  0.0 
