              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 11:32:08 (30/9/2025) 
DRT4 Serial Number: #3173 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0	 24.2	  0.0 
2	0	0	1	 11.1	  0.0 
3	0	0	2	  9.9	  0.0 
4	0	0	3	  9.5	  0.0 
5	0	0	4	  9.2	  0.0 
6	0	0	5	  8.0	  0.0 
7	0	0	6	  5.9	  0.0 
8	0	0	7	  4.8	  0.0 
9	0	0	8	  5.8	  0.0 
10	0	0	9	  7.4	  0.0 
11	0	0	10	  5.9	  0.0 
12	0	0	11	  3.9	  0.0 
13	0	0	12	  2.8	  0.0 
14	0	0	13	  5.3	  0.0 
15	0	0	14	  2.3	  0.0 
16	0	0	15	  2.5	  0.0 
17	0	0	16	  5.5	  0.0 
18	0	0	17	  7.7	  0.0 
19	0	0	18	  3.6	  0.0 
20	0	0	19	  8.8	  0.0 
21	0	0	20	  7.5	  0.0 
22	0	0	21	  5.2	  0.0 
23	0	0	22	  2.2	  0.0 
24	0	0	23	  3.3	  0.0 
25	0	0	24	  5.6	  0.0 
26	0	0	25	  4.8	  0.0 
27	0	0	26	  4.4	  0.0 
28	0	0	27	  3.6	  0.0 
29	0	0	28	  4.3	  0.0 
30	0	0	29	  3.2	  0.0 
31	0	0	30	  4.9	  0.0 
32	0	0	31	  3.0	  0.0 
33	0	0	32	  3.8	  0.0 
34	0	0	33	  9.3	  0.0 
35	0	0	34	  8.3	  0.0 
36	0	0	35	  6.8	  0.0 
37	0	0	36	 21.5	  0.0 
38	0	0	37	 23.6	  0.0 
39	0	0	38	 52.1	  0.0 
40	0	0	39	 64.7	  0.0 
41	0	0	40	 83.2	  0.0 
42	0	0	41	 76.0	  0.0 
43	0	0	42	 61.0	  0.0 
44	0	0	43	 48.0	  0.0 
45	0	0	44	 24.4	  0.0 
46	0	0	45	 17.9	  0.0 
47	0	0	46	 18.7	  0.0 
48	0	0	47	 17.3	  0.0 
49	0	0	48	  9.7	  0.0 
50	0	0	49	 11.0	  0.0 
51	0	0	50	 12.5	  0.0 
52	0	0	51	 10.1	  0.0 
53	0	0	52	  8.0	  0.0 
54	0	0	53	  5.6	  0.0 
55	0	0	54	  5.9	  0.0 
56	0	0	55	  3.4	  0.0 
57	0	0	56	  8.3	  0.0 
58	0	0	57	  7.8	  0.0 
59	0	0	58	 13.9	  0.0 
60	0	0	59	  8.7	  0.0 
61	0	1	0	 85.4	  0.0 
62	0	1	1	 86.5	  0.0 
63	0	1	2	 69.1	  0.0 
64	0	1	3	 67.4	  0.0 
65	0	1	4	 58.6	  0.0 
66	0	1	5	 46.5	  0.0 
67	0	1	6	 44.4	  0.0 
68	0	1	7	 42.1	  0.0 
69	0	1	8	 78.6	  0.0 
70	0	1	9	 80.1	  0.0 
71	0	1	10	 69.7	  0.0 
72	0	1	11	 43.7	  0.0 
73	0	1	12	 42.9	  0.0 
74	0	1	13	 25.3	  0.0 
75	0	1	14	 40.1	  0.0 
76	0	1	15	 37.5	  0.0 
77	0	1	16	 50.4	  0.0 
78	0	1	17	 59.1	  0.0 
79	0	1	18	 80.0	  0.0 
80	0	1	19	 80.2	  0.0 
81	0	1	20	 77.5	  0.0 
82	0	1	21	 49.9	  0.0 
83	0	1	22	 38.9	  0.0 
84	0	1	23	 41.4	  0.0 
85	0	1	24	 43.7	  0.0 
86	0	1	25	 56.4	  0.0 
87	0	1	26	 57.4	  0.0 
88	0	1	27	 66.0	  0.0 
89	0	1	28	 72.5	  0.0 
90	0	1	29	 84.0	  0.0 
91	0	1	30	 94.5	  0.0 
92	0	1	31	 84.2	  0.0 
93	0	1	32	 80.8	  0.0 
94	0	1	33	 73.2	  0.0 
95	0	1	34	 59.2	  0.0 
96	0	1	35	 47.5	  0.0 
97	0	1	36	 50.0	  0.0 
98	0	1	37	 49.5	  0.0 
99	0	1	38	 47.8	  0.0 
100	0	1	39	 52.1	  0.0 
101	0	1	40	 59.6	  0.0 
102	0	1	41	 71.5	  0.0 
103	0	1	42	 82.1	  0.0 
104	0	1	43	 73.7	  0.0 
105	0	1	44	 76.3	  0.0 
106	0	1	45	 65.7	  0.0 
107	0	1	46	 53.8	  0.0 
108	0	1	47	 57.7	  0.0 
109	0	1	48	 50.1	  0.0 
110	0	1	49	 45.6	  0.0 
111	0	1	50	 48.2	  0.0 
112	0	1	51	 47.2	  0.0 
113	0	1	52	 46.3	  0.0 
114	0	1	53	 67.4	  0.0 
115	0	1	54	 87.6	  0.0 
116	0	1	55	 92.3	  0.0 
117	0	1	56	 79.0	  0.0 
118	0	1	57	 62.9	  0.0 
119	0	1	58	 55.8	  0.0 
120	0	1	59	 61.9	  0.0 
121	0	2	0	 82.6	  0.0 
122	0	2	1	 65.0	  0.0 
123	0	2	2	 54.3	  0.0 
124	0	2	3	 49.9	  0.0 
125	0	2	4	 45.6	  0.0 
126	0	2	5	 38.3	  0.0 
127	0	2	6	 47.0	  0.0 
128	0	2	7	 63.2	  0.0 
129	0	2	8	 67.8	  0.0 
130	0	2	9	 56.4	  0.0 
131	0	2	10	 75.2	  0.0 
132	0	2	11	 62.2	  0.0 
133	0	2	12	 67.8	  0.0 
134	0	2	13	 59.8	  0.0 
135	0	2	14	 55.8	  0.0 
136	0	2	15	 51.1	  0.0 
137	0	2	16	 54.2	  0.0 
138	0	2	17	 63.6	  0.0 
139	0	2	18	 59.1	  0.0 
140	0	2	19	 61.3	  0.0 
141	0	2	20	 51.8	  0.0 
142	0	2	21	 40.0	  0.0 
143	0	2	22	 63.5	  0.0 
144	0	2	23	 55.0	  0.0 
145	0	2	24	 70.3	  0.0 
146	0	2	25	 83.7	  0.0 
147	0	2	26	 63.2	  0.0 
148	0	2	27	 72.6	  0.0 
149	0	2	28	 84.9	  0.0 
150	0	2	29	 90.6	  0.0 
151	0	2	30	 90.0	  0.0 
152	0	2	31	 77.3	  0.0 
153	0	2	32	 65.1	  0.0 
154	0	2	33	 85.0	  0.0 
155	0	2	34	 54.8	  0.0 
156	0	2	35	 44.0	  0.0 
157	0	2	36	 95.3	  0.0 
158	0	2	37	 89.0	  0.0 
159	0	2	38	 76.5	  0.0 
160	0	2	39	 84.6	  0.0 
161	0	2	40	109.5	  0.0 
162	0	2	41	102.1	  0.0 
163	0	2	42	114.2	  0.0 
164	0	2	43	 98.4	  0.0 
165	0	2	44	 99.9	  0.0 
166	0	2	45	 80.5	  0.0 
167	0	2	46	 85.3	  0.0 
168	0	2	47	 63.6	  0.0 
169	0	2	48	 79.4	  0.0 
170	0	2	49	 87.2	  0.0 
171	0	2	50	 92.2	  0.0 
172	0	2	51	 90.0	  0.0 
173	0	2	52	 89.0	  0.0 
174	0	2	53	 85.4	  0.0 
175	0	2	54	 86.8	  0.0 
176	0	2	55	 81.5	  0.0 
177	0	2	56	 73.4	  0.0 
178	0	2	57	 65.8	  0.0 
179	0	2	58	 70.8	  0.0 
180	0	2	59	 56.6	  0.0 
181	0	3	0	 89.5	  0.0 
182	0	3	1	 92.0	  0.0 
183	0	3	2	 81.0	  0.0 
184	0	3	3	 72.4	  0.0 
185	0	3	4	 60.2	  0.0 
186	0	3	5	 51.4	  0.0 
187	0	3	6	 49.9	  0.0 
188	0	3	7	 43.8	  0.0 
189	0	3	8	 62.2	  0.0 
190	0	3	9	 66.9	  0.0 
191	0	3	10	 71.2	  0.0 
192	0	3	11	 58.6	  0.0 
193	0	3	12	 70.2	  0.0 
194	0	3	13	 75.0	  0.0 
195	0	3	14	 69.4	  0.0 
196	0	3	15	 69.5	  0.0 
197	0	3	16	 75.3	  0.0 
198	0	3	17	103.1	  0.0 
199	0	3	18	120.7	  0.0 
200	0	3	19	112.3	  0.0 
201	0	3	20	109.1	  0.0 
202	0	3	21	 87.0	  0.0 
203	0	3	22	 71.5	  0.0 
204	0	3	23	 52.3	  0.0 
205	0	3	24	 67.1	  0.0 
206	0	3	25	 86.2	  0.0 
207	0	3	26	 72.9	  0.0 
208	0	3	27	 75.4	  0.0 
209	0	3	28	 78.3	  0.0 
210	0	3	29	 95.7	  0.0 
211	0	3	30	 90.1	  0.0 
212	0	3	31	 73.6	  0.0 
213	0	3	32	 73.0	  0.0 
214	0	3	33	 57.8	  0.0 
215	0	3	34	 56.0	  0.0 
216	0	3	35	 38.0	  0.0 
217	0	3	36	 47.3	  0.0 
218	0	3	37	 68.0	  0.0 
219	0	3	38	 63.1	  0.0 
220	0	3	39	 90.5	  0.0 
221	0	3	40	111.6	  0.0 
222	0	3	41	135.6	  0.0 
223	0	3	42	154.2	  0.0 
224	0	3	43	152.1	  0.0 
225	0	3	44	124.3	  0.0 
226	0	3	45	 97.7	  0.0 
227	0	3	46	 61.4	  0.0 
228	0	3	47	 67.1	  0.0 
229	0	3	48	 97.5	  0.0 
230	0	3	49	116.8	  0.0 
231	0	3	50	115.3	  0.0 
232	0	3	51	123.4	  0.0 
233	0	3	52	147.7	  0.0 
234	0	3	53	148.4	  0.0 
235	0	3	54	157.8	  0.0 
236	0	3	55	 97.5	  0.0 
237	0	3	56	 76.6	  0.0 
238	0	3	57	 68.0	  0.0 
239	0	3	58	 54.9	  0.0 
240	0	3	59	 58.3	  0.0 
241	0	4	0	 99.6	  0.0 
242	0	4	1	178.5	  0.0 
243	0	4	2	 29.6	  0.0 
244	0	4	3	 16.6	  0.0 
245	0	4	4	  7.9	  0.0 
246	0	4	5	  7.6	  0.0 
247	0	4	6	  8.6	  0.0 
248	0	4	7	 12.0	  0.0 
249	0	4	8	 11.7	  0.0 
250	0	4	9	  6.5	  0.0 
251	0	4	10	  6.5	  0.0 
252	0	4	11	  7.2	  0.0 
253	0	4	12	  2.6	  0.0 
254	0	4	13	  6.1	  0.0 
255	0	4	14	  1.7	  0.0 
256	0	4	15	  5.3	  0.0 
257	0	4	16	 10.0	  0.0 
258	0	4	17	 11.8	  0.0 
259	0	4	18	 10.6	  0.0 
260	0	4	19	  9.4	  0.0 
261	0	4	20	 13.3	  0.0 
262	0	4	21	 10.4	  0.0 
263	0	4	22	  6.1	  0.0 
264	0	4	23	  4.2	  0.0 
265	0	4	24	  5.2	  0.0 
266	0	4	25	  5.3	  0.0 
267	0	4	26	  8.9	  0.0 
268	0	4	27	 13.7	  0.0 
269	0	4	28	 11.3	  0.0 
270	0	4	29	 16.5	  0.0 
271	0	4	30	  9.7	  0.0 
272	0	4	31	  5.8	  0.0 
273	0	4	32	  5.7	  0.0 
274	0	4	33	  6.3	  0.0 
275	0	4	34	  3.2	  0.0 
276	0	4	35	  3.2	  0.0 
277	0	4	36	  4.3	  0.0 
278	0	4	37	  4.8	  0.0 
279	0	4	38	  4.3	  0.0 
280	0	4	39	  8.9	  0.0 
281	0	4	40	 10.8	  0.0 
282	0	4	41	 13.3	  0.0 
283	0	4	42	 16.3	  0.0 
284	0	4	43	 11.8	  0.0 
285	0	4	44	 10.7	  0.0 
286	0	4	45	 11.9	  0.0 
287	0	4	46	 16.4	  0.0 
288	0	4	47	 14.3	  0.0 
289	0	4	48	 13.6	  0.0 
290	0	4	49	 11.9	  0.0 
291	0	4	50	  7.5	  0.0 
292	0	4	51	  4.1	  0.0 
293	0	4	52	  6.4	  0.0 
294	0	4	53	  6.7	  0.0 
295	0	4	54	  5.7	  0.0 
296	0	4	55	  9.3	  0.0 
297	0	4	56	  7.5	  0.0 
298	0	4	57	 12.8	  0.0 
299	0	4	58	 16.3	  0.0 
300	0	4	59	 19.9	  0.0 
301	0	5	0	 13.8	  0.0 
302	0	5	1	 12.0	  0.0 
303	0	5	2	  6.7	  0.0 
304	0	5	3	  7.1	  0.0 
305	0	5	4	  6.7	  0.0 
306	0	5	5	  7.6	  0.0 
307	0	5	6	  8.6	  0.0 
308	0	5	7	  8.5	  0.0 
309	0	5	8	  8.0	  0.0 
310	0	5	9	  7.3	  0.0 
311	0	5	10	  9.8	  0.0 
312	0	5	11	 12.6	  0.0 
313	0	5	12	 12.8	  0.0 
314	0	5	13	  7.9	  0.0 
315	0	5	14	  8.3	  0.0 
316	0	5	15	 10.8	  0.0 
317	0	5	16	  5.2	  0.0 
318	0	5	17	 12.9	  0.0 
319	0	5	18	 13.1	  0.0 
320	0	5	19	 29.1	  0.0 
321	0	5	20	 38.4	  0.0 
322	0	5	21	 31.1	  0.0 
323	0	5	22	 29.6	  0.0 
324	0	5	23	 39.0	  0.0 
325	0	5	24	 41.5	  0.0 
326	0	5	25	 49.3	  0.0 
327	0	5	26	 45.4	  0.0 
328	0	5	27	 50.2	  0.0 
329	0	5	28	 57.0	  0.0 
330	0	5	29	 56.4	  0.0 
331	0	5	30	 37.1	  0.0 
332	0	5	31	 29.3	  0.0 
333	0	5	32	 20.0	  0.0 
334	0	5	33	 23.1	  0.0 
