              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: Alan
Subject No: 
Date of Birth: 
Subject Address: 
Operator: William 
Date: 16:20:13 (16/9/2025)
DRT4 Serial Number: #3173
Comment: 0 - 4  min; Outergate: Baseline, 0lbs, 5lbs, 10lbs
4 - 8  min: Hand3miles: Baseline, 0lbs, 5lbs, 10lbs
8 - 12 min: Hand5miles: Baseline, 0lbs, 5lbs, 10lbs
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 11 
Active Mark Number: 11 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
1: 	0	0	0	baseline				
2: 	0	1	0	outergate-noweight				
3: 	0	2	0	outergate-5lbs				
4: 	0	3	0	outergate-10lbs				
5: 	0	4	3	hand3miles-baseline				
6: 	0	5	3	hand3miles-noweight				
7: 	0	6	3	hand3miles-5lb				
8: 	0	7	4	hand5miles-baselin				
9: 	0	9	3	hand5miles-5lbs				
10: 	0	10	3	hand5miles-10lbs				
11: 	0	11	3	Event11				
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0	 46.9	  0.0 
2	0	0	1	 11.0	  0.0 
3	0	0	2	  6.0	  0.0 
4	0	0	3	  7.7	  0.0 
5	0	0	4	  8.3	  0.0 
6	0	0	5	 10.7	  0.0 
7	0	0	6	 16.5	  0.0 
8	0	0	7	 23.2	  0.0 
9	0	0	8	 28.6	  0.0 
10	0	0	9	 21.1	  0.0 
11	0	0	10	 13.2	  0.0 
12	0	0	11	 12.2	  0.0 
13	0	0	12	 10.8	  0.0 
14	0	0	13	 15.2	  0.0 
15	0	0	14	 18.2	  0.0 
16	0	0	15	 13.9	  0.0 
17	0	0	16	  8.9	  0.0 
18	0	0	17	  9.7	  0.0 
19	0	0	18	 20.3	  0.0 
20	0	0	19	 49.7	  0.0 
21	0	0	20	 46.8	  0.0 
22	0	0	21	 20.0	  0.0 
23	0	0	22	 13.8	  0.0 
24	0	0	23	  9.1	  0.0 
25	0	0	24	 12.4	  0.0 
26	0	0	25	  6.6	  0.0 
27	0	0	26	  4.9	  0.0 
28	0	0	27	  3.7	  0.0 
29	0	0	28	  4.6	  0.0 
30	0	0	29	  8.9	  0.0 
31	0	0	30	  9.8	  0.0 
32	0	0	31	  7.1	  0.0 
33	0	0	32	  5.6	  0.0 
34	0	0	33	 10.2	  0.0 
35	0	0	34	  9.2	  0.0 
36	0	0	35	  5.1	  0.0 
37	0	0	36	  2.5	  0.0 
38	0	0	37	  5.9	  0.0 
39	0	0	38	  5.5	  0.0 
40	0	0	39	  9.0	  0.0 
41	0	0	40	  6.4	  0.0 
42	0	0	41	 10.8	  0.0 
43	0	0	42	  8.8	  0.0 
