Subject name,
Gender,Male
Age,0
Comment,
Weather,
Temperature(F),
Pressure(hPa),
Humidity(%),
Measurement location,
Experimenter name,
Baud Rate,9600
Channel interval time (msec),122
Round interval time (sec),1
Round repeats number,2099
Total channels number got data,1
Start time,5/7/2025 11:26:02 AM
End time,5/7/2025 12:01:00 PM

BP(uA),,CH01
No,Time (hr:min:sec),LeftLU,Event messages
0,0:00:00,2224
1,0:00:01,2224
2,0:00:02,2231
3,0:00:03,2225
4,0:00:04,2220
5,0:00:05,2223
6,0:00:06,2240
7,0:00:07,2231
8,0:00:08,2218
9,0:00:09,2239
10,0:00:10,2188
11,0:00:11,2227
12,0:00:12,2227
13,0:00:13,2263
14,0:00:14,2244
15,0:00:15,2236
16,0:00:16,2238
17,0:00:17,2239
18,0:00:18,2230
19,0:00:19,2231
20,0:00:20,2227
21,0:00:21,2239
22,0:00:22,2255
23,0:00:23,2230
24,0:00:24,2235
25,0:00:25,2236
26,0:00:26,2252
27,0:00:27,2238
28,0:00:28,2236
29,0:00:29,2247
30,0:00:30,2253
31,0:00:31,2220
32,0:00:32,2240
33,0:00:33,2228
34,0:00:34,2249
35,0:00:35,2224
36,0:00:36,2259
37,0:00:37,2220
38,0:00:38,2279
39,0:00:39,2246
40,0:00:40,2247
41,0:00:41,2279
42,0:00:42,2243
43,0:00:43,2239
44,0:00:44,2255
45,0:00:45,2249
46,0:00:46,2217
47,0:00:47,2284
48,0:00:48,2260
49,0:00:49,2224
50,0:00:50,2248
51,0:00:51,2275
52,0:00:52,2249
53,0:00:53,2265
54,0:00:54,2268
55,0:00:55,2255
56,0:00:56,2255
57,0:00:57,2216
58,0:00:58,2231
59,0:00:59,2247
60,0:01:00,2252
61,0:01:01,2252
62,0:01:02,2263
63,0:01:03,2255
64,0:01:04,2257
65,0:01:05,2231
66,0:01:06,2249
67,0:01:07,2252
68,0:01:08,2255
69,0:01:09,2252
70,0:01:10,2255
71,0:01:11,2239
72,0:01:12,2247
73,0:01:13,2282
74,0:01:14,2268
75,0:01:15,2245
76,0:01:16,2271
77,0:01:17,2276
78,0:01:18,2235
79,0:01:19,2272
80,0:01:20,2236
81,0:01:21,2260
82,0:01:22,2243
83,0:01:23,2289
84,0:01:24,2275
85,0:01:25,2248
86,0:01:26,2272
87,0:01:27,2274
88,0:01:28,2273
89,0:01:29,2287
90,0:01:30,2265
91,0:01:31,2271
92,0:01:32,2291
93,0:01:33,2270
94,0:01:34,2264
95,0:01:35,2301
96,0:01:36,2292
97,0:01:37,2270
98,0:01:38,2286
99,0:01:39,2239
100,0:01:40,2259
101,0:01:41,2271
102,0:01:42,2252
103,0:01:43,2268
104,0:01:44,2264
105,0:01:45,2286
106,0:01:46,2275
107,0:01:47,2284
108,0:01:48,2285
109,0:01:49,2267
110,0:01:50,2323
111,0:01:51,2278
112,0:01:52,2290
113,0:01:53,2285
114,0:01:54,2297
115,0:01:55,2275
116,0:01:56,2278
117,0:01:57,2294
118,0:01:58,2310
119,0:01:59,2310
120,0:02:00,2305
121,0:02:01,2273
122,0:02:02,2304
123,0:02:03,2255
124,0:02:04,2313
125,0:02:05,2259
126,0:02:06,2271
127,0:02:07,2299
128,0:02:08,2268
129,0:02:09,2272
130,0:02:10,2292
131,0:02:11,2294
132,0:02:12,2252
133,0:02:13,2271
134,0:02:14,2286
135,0:02:15,2284
136,0:02:16,2262
137,0:02:17,2289
138,0:02:18,2279
139,0:02:19,2271
140,0:02:20,2279
141,0:02:21,2244
142,0:02:22,2259
143,0:02:23,2268
144,0:02:24,2275
145,0:02:25,2284
146,0:02:26,2275
147,0:02:27,2297
148,0:02:28,2307
149,0:02:29,2286
150,0:02:30,2297
151,0:02:31,2287
152,0:02:32,2305
153,0:02:33,2278
154,0:02:34,2259
155,0:02:35,2287
156,0:02:36,2289
157,0:02:37,2315
158,0:02:38,2289
159,0:02:39,2255
160,0:02:40,2289
161,0:02:41,2281
162,0:02:42,2259
163,0:02:43,2329
164,0:02:44,2284
165,0:02:45,2259
166,0:02:46,2279
167,0:02:47,2279
168,0:02:48,2291
169,0:02:49,2292
170,0:02:50,2302
171,0:02:51,2291
172,0:02:52,2310
173,0:02:53,2292
174,0:02:54,2299
175,0:02:55,2307
176,0:02:56,2273
177,0:02:57,2266
178,0:02:58,2308
179,0:02:59,2278
180,0:03:00,2287
181,0:03:01,2287
182,0:03:02,2281
183,0:03:03,2307
184,0:03:04,2284
185,0:03:05,2259
186,0:03:06,2312
187,0:03:07,2287
188,0:03:08,2295
189,0:03:09,2264
190,0:03:10,2288
191,0:03:11,2292
192,0:03:12,2276
193,0:03:13,2316
194,0:03:14,2294
195,0:03:15,2287
