              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 12:00:43 (7/5/2025) 
DRT4 Serial Number: #3173 
Comment:  

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 15 
Active Mark Number: 15 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
1: 	0	10	47	Event1	PC User Marker			
2: 	0	12	19	Event2	PC User Marker			
3: 	0	15	21	Event3	PC User Marker			
4: 	0	16	59	Event4	PC User Marker			
5: 	0	19	22	Event5	PC User Marker			
6: 	0	21	44	Event6	PC User Marker			
7: 	0	23	26	Event7	PC User Marker			
8: 	0	25	15	Event8	PC User Marker			
9: 	0	26	17	Event9	PC User Marker			
10: 	0	27	44	Event10	PC User Marker			
11: 	0	27	59	Event11	PC User Marker			
12: 	0	28	52	Event12	PC User Marker			
13: 	0	29	43	Event13	PC User Marker			
14: 	0	30	31	Event14	PC User Marker			
15: 	0	30	54	Event15				


4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	113.2 
2	0	0	1	111.2 
3	0	0	2	107.6 
4	0	0	3	107.0 
5	0	0	4	102.0 
6	0	0	5	112.7 
7	0	0	6	114.7 
8	0	0	7	103.7 
9	0	0	8	114.8 
10	0	0	9	108.1 
11	0	0	10	105.2 
12	0	0	11	 97.9 
13	0	0	12	 91.6 
14	0	0	13	 85.4 
15	0	0	14	 82.8 
16	0	0	15	 79.2 
17	0	0	16	 86.7 
18	0	0	17	 97.6 
19	0	0	18	100.6 
20	0	0	19	 97.0 
21	0	0	20	103.7 
22	0	0	21	104.0 
23	0	0	22	 99.9 
24	0	0	23	100.9 
25	0	0	24	 92.3 
26	0	0	25	 83.6 
27	0	0	26	 79.2 
28	0	0	27	 82.1 
29	0	0	28	 93.6 
30	0	0	29	 98.7 
31	0	0	30	109.8 
32	0	0	31	130.0 
33	0	0	32	145.8 
34	0	0	33	150.8 
35	0	0	34	163.9 
36	0	0	35	162.8 
37	0	0	36	160.5 
38	0	0	37	159.8 
39	0	0	38	156.7 
40	0	0	39	152.6 
41	0	0	40	156.7 
42	0	0	41	143.0 
43	0	0	42	140.0 
44	0	0	43	150.4 
45	0	0	44	151.0 
46	0	0	45	138.2 
47	0	0	46	125.8 
48	0	0	47	 98.4 
49	0	0	48	 83.9 
50	0	0	49	 79.6 
51	0	0	50	 73.8 
52	0	0	51	 71.4 
53	0	0	52	 71.5 
54	0	0	53	 80.3 
55	0	0	54	100.3 
56	0	0	55	108.1 
57	0	0	56	111.9 
58	0	0	57	119.1 
59	0	0	58	122.8 
60	0	0	59	108.4 
61	0	1	0	105.7 
62	0	1	1	104.1 
63	0	1	2	108.7 
64	0	1	3	114.6 
65	0	1	4	133.6 
66	0	1	5	129.8 
67	0	1	6	142.8 
68	0	1	7	158.2 
69	0	1	8	179.4 
70	0	1	9	178.9 
71	0	1	10	177.8 
72	0	1	11	169.7 
73	0	1	12	156.8 
74	0	1	13	146.5 
75	0	1	14	134.5 
76	0	1	15	154.9 
77	0	1	16	164.7 
78	0	1	17	167.8 
79	0	1	18	181.4 
80	0	1	19	179.5 
81	0	1	20	186.2 
82	0	1	21	195.5 
83	0	1	22	184.4 
84	0	1	23	180.7 
85	0	1	24	168.3 
86	0	1	25	166.2 
87	0	1	26	161.8 
88	0	1	27	151.6 
89	0	1	28	152.5 
90	0	1	29	158.0 
91	0	1	30	163.2 
92	0	1	31	163.2 
93	0	1	32	162.8 
94	0	1	33	154.9 
95	0	1	34	148.2 
96	0	1	35	152.9 
97	0	1	36	155.8 
98	0	1	37	148.1 
99	0	1	38	147.4 
100	0	1	39	150.2 
101	0	1	40	146.9 
102	0	1	41	138.9 
