              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 11:59:31 (13/3/2026)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	 33.9 
2	0	0	1	 34.1 
3	0	0	2	 44.2 
4	0	0	3	 45.2 
5	0	0	4	 48.8 
6	0	0	5	 58.2 
7	0	0	6	 69.2 
8	0	0	7	 32.1 
9	0	0	8	 28.5 
10	0	0	9	 31.7 
11	0	0	10	 49.3 
12	0	0	11	 29.6 
13	0	0	12	 39.2 
14	0	0	13	 33.7 
15	0	0	14	 25.6 
16	0	0	15	 36.7 
17	0	0	16	 42.5 
18	0	0	17	 47.7 
19	0	0	18	103.7 
20	0	0	19	130.6 
21	0	0	20	157.1 
22	0	0	21	149.8 
23	0	0	22	123.3 
24	0	0	23	126.8 
25	0	0	24	 84.7 
26	0	0	25	102.3 
27	0	0	26	 50.4 
28	0	0	27	333.7 
29	0	0	28	193.9 
30	0	0	29	175.0 
31	0	0	30	151.7 
32	0	0	31	111.7 
33	0	0	32	117.9 
34	0	0	33	 84.9 
35	0	0	34	 80.3 
36	0	0	35	 75.4 
37	0	0	36	 68.0 
38	0	0	37	 62.7 
39	0	0	38	 57.3 
40	0	0	39	 52.5 
41	0	0	40	 49.2 
42	0	0	41	 53.8 
43	0	0	42	 52.2 
44	0	0	43	 40.6 
45	0	0	44	 48.5 
46	0	0	45	 55.0 
47	0	0	46	 55.2 
48	0	0	47	 52.5 
49	0	0	48	 55.5 
50	0	0	49	183.7 
51	0	0	50	240.2 
52	0	0	51	119.6 
53	0	0	52	 94.4 
54	0	0	53	 27.9 
55	0	0	54	 24.5 
56	0	0	55	 18.0 
57	0	0	56	 28.7 
58	0	0	57	 60.2 
59	0	0	58	 19.3 
60	0	0	59	 22.3 
61	0	1	0	 39.1 
62	0	1	1	 58.8 
63	0	1	2	 79.9 
64	0	1	3	 98.5 
65	0	1	4	102.8 
66	0	1	5	100.5 
67	0	1	6	124.7 
68	0	1	7	136.0 
69	0	1	8	140.4 
70	0	1	9	136.6 
71	0	1	10	121.5 
72	0	1	11	107.5 
73	0	1	12	119.9 
74	0	1	13	112.6 
75	0	1	14	 65.1 
76	0	1	15	 72.7 
77	0	1	16	 65.1 
78	0	1	17	 68.8 
79	0	1	18	 39.2 
80	0	1	19	 37.2 
81	0	1	20	 46.1 
82	0	1	21	 40.8 
83	0	1	22	 33.6 
84	0	1	23	 32.6 
85	0	1	24	 31.7 
86	0	1	25	 42.8 
87	0	1	26	 46.6 
88	0	1	27	 49.9 
89	0	1	28	 35.3 
90	0	1	29	 33.8 
91	0	1	30	 29.7 
92	0	1	31	 76.1 
93	0	1	32	123.8 
94	0	1	33	 84.2 
95	0	1	34	 79.7 
96	0	1	35	 79.2 
97	0	1	36	 93.7 
98	0	1	37	111.8 
99	0	1	38	104.1 
100	0	1	39	110.0 
101	0	1	40	126.9 
102	0	1	41	 89.1 
103	0	1	42	108.7 
104	0	1	43	 91.4 
105	0	1	44	 75.0 
106	0	1	45	 82.3 
107	0	1	46	 71.2 
108	0	1	47	 42.0 
109	0	1	48	 53.5 
110	0	1	49	 52.7 
111	0	1	50	 62.0 
112	0	1	51	 61.8 
113	0	1	52	 56.4 
114	0	1	53	 43.6 
115	0	1	54	 41.8 
116	0	1	55	 38.3 
117	0	1	56	 57.2 
118	0	1	57	 56.2 
119	0	1	58	 48.8 
120	0	1	59	 44.6 
121	0	2	0	 49.0 
122	0	2	1	 29.8 
123	0	2	2	 24.8 
124	0	2	3	 17.7 
125	0	2	4	 15.1 
126	0	2	5	 16.8 
127	0	2	6	 52.1 
128	0	2	7	 72.4 
129	0	2	8	 77.3 
130	0	2	9	 36.9 
131	0	2	10	 34.3 
132	0	2	11	 51.6 
133	0	2	12	 65.3 
134	0	2	13	 83.6 
135	0	2	14	 93.8 
136	0	2	15	102.2 
137	0	2	16	 98.6 
138	0	2	17	112.6 
139	0	2	18	124.2 
140	0	2	19	115.0 
141	0	2	20	112.1 
142	0	2	21	111.8 
143	0	2	22	117.3 
144	0	2	23	109.2 
145	0	2	24	 92.2 
146	0	2	25	 61.2 
147	0	2	26	 56.5 
148	0	2	27	 40.9 
149	0	2	28	 41.9 
150	0	2	29	 49.4 
151	0	2	30	 52.0 
152	0	2	31	 53.8 
153	0	2	32	 56.8 
154	0	2	33	 76.7 
155	0	2	34	 66.3 
156	0	2	35	 83.5 
157	0	2	36	 88.0 
158	0	2	37	 88.3 
159	0	2	38	 84.2 
160	0	2	39	 84.8 
161	0	2	40	 65.3 
162	0	2	41	 53.0 
163	0	2	42	 61.7 
164	0	2	43	 53.5 
165	0	2	44	 49.7 
166	0	2	45	 30.2 
167	0	2	46	 25.9 
168	0	2	47	 27.2 
169	0	2	48	 27.6 
170	0	2	49	 29.0 
171	0	2	50	 17.0 
172	0	2	51	 21.0 
173	0	2	52	 33.8 
174	0	2	53	 53.4 
175	0	2	54	 50.6 
176	0	2	55	 49.9 
177	0	2	56	 59.8 
178	0	2	57	 76.5 
179	0	2	58	102.3 
180	0	2	59	103.9 
181	0	3	0	 99.9 
182	0	3	1	106.8 
183	0	3	2	109.5 
184	0	3	3	129.1 
185	0	3	4	141.3 
186	0	3	5	135.6 
187	0	3	6	117.8 
188	0	3	7	 96.3 
189	0	3	8	 82.3 
190	0	3	9	 84.1 
191	0	3	10	 95.2 
192	0	3	11	 92.4 
193	0	3	12	 76.9 
194	0	3	13	 68.9 
195	0	3	14	 61.8 
196	0	3	15	 66.8 
197	0	3	16	 61.9 
198	0	3	17	 68.3 
199	0	3	18	 67.9 
200	0	3	19	 60.9 
201	0	3	20	 96.7 
202	0	3	21	 88.8 
203	0	3	22	102.4 
204	0	3	23	 90.0 
205	0	3	24	 86.4 
206	0	3	25	 68.8 
207	0	3	26	 58.5 
208	0	3	27	 58.5 
209	0	3	28	 44.6 
210	0	3	29	 50.0 
211	0	3	30	 35.8 
212	0	3	31	 31.9 
213	0	3	32	 26.5 
214	0	3	33	 32.3 
215	0	3	34	 38.2 
216	0	3	35	 45.4 
217	0	3	36	 48.0 
218	0	3	37	 60.3 
219	0	3	38	 50.2 
220	0	3	39	 66.6 
221	0	3	40	 81.2 
222	0	3	41	 81.8 
223	0	3	42	 98.1 
224	0	3	43	100.2 
225	0	3	44	 97.1 
226	0	3	45	 99.0 
227	0	3	46	103.4 
228	0	3	47	 99.3 
229	0	3	48	 84.7 
230	0	3	49	 73.8 
231	0	3	50	 80.4 
232	0	3	51	125.4 
233	0	3	52	123.5 
234	0	3	53	 88.2 
235	0	3	54	 86.8 
236	0	3	55	 91.5 
237	0	3	56	 79.4 
238	0	3	57	 84.4 
239	0	3	58	 84.2 
240	0	3	59	 85.8 
241	0	4	0	 86.2 
242	0	4	1	 67.2 
243	0	4	2	 77.7 
244	0	4	3	 57.5 
245	0	4	4	 47.5 
246	0	4	5	 51.2 
247	0	4	6	 51.0 
248	0	4	7	 51.3 
249	0	4	8	 49.1 
250	0	4	9	 43.7 
251	0	4	10	 44.5 
252	0	4	11	 44.1 
253	0	4	12	 49.2 
254	0	4	13	 46.8 
255	0	4	14	 69.7 
256	0	4	15	 75.3 
257	0	4	16	 96.8 
258	0	4	17	131.9 
259	0	4	18	123.8 
260	0	4	19	129.5 
261	0	4	20	127.9 
262	0	4	21	139.3 
263	0	4	22	116.6 
264	0	4	23	122.9 
265	0	4	24	 99.1 
266	0	4	25	101.7 
267	0	4	26	107.9 
268	0	4	27	 87.8 
269	0	4	28	 84.9 
270	0	4	29	 86.5 
271	0	4	30	 86.2 
272	0	4	31	 56.9 
273	0	4	32	 66.1 
274	0	4	33	 62.7 
275	0	4	34	 66.0 
276	0	4	35	 69.3 
277	0	4	36	 82.9 
278	0	4	37	 91.9 
279	0	4	38	 79.2 
280	0	4	39	 80.7 
281	0	4	40	100.2 
282	0	4	41	 97.0 
283	0	4	42	101.1 
284	0	4	43	 78.2 
285	0	4	44	 80.2 
286	0	4	45	 62.7 
287	0	4	46	 41.7 
288	0	4	47	 39.8 
289	0	4	48	 56.3 
290	0	4	49	 23.6 
291	0	4	50	 18.2 
292	0	4	51	 16.8 
