              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 11:24:36 (29/9/2025)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0	 19.6	  0.0 
2	0	0	1	 15.8	  0.0 
3	0	0	2	 15.1	  0.0 
4	0	0	3	 19.2	  0.0 
5	0	0	4	 22.2	  0.0 
6	0	0	5	 18.9	  0.0 
7	0	0	6	 17.8	  0.0 
8	0	0	7	 16.9	  0.0 
9	0	0	8	 16.7	  0.0 
10	0	0	9	 18.0	  0.0 
11	0	0	10	 14.9	  0.0 
12	0	0	11	 12.9	  0.0 
13	0	0	12	 13.7	  0.0 
14	0	0	13	 11.6	  0.0 
15	0	0	14	 12.0	  0.0 
16	0	0	15	 15.9	  0.0 
17	0	0	16	 14.5	  0.0 
18	0	0	17	 14.7	  0.0 
19	0	0	18	 12.8	  0.0 
20	0	0	19	 15.3	  0.0 
21	0	0	20	 16.7	  0.0 
22	0	0	21	 16.9	  0.0 
23	0	0	22	 12.4	  0.0 
24	0	0	23	 18.8	  0.0 
25	0	0	24	 13.7	  0.0 
26	0	0	25	 15.4	  0.0 
27	0	0	26	 20.1	  0.0 
28	0	0	27	 11.8	  0.0 
29	0	0	28	 12.1	  0.0 
30	0	0	29	 14.0	  0.0 
31	0	0	30	 20.4	  0.0 
32	0	0	31	 13.5	  0.0 
33	0	0	32	 18.3	  0.0 
34	0	0	33	 16.8	  0.0 
35	0	0	34	 12.1	  0.0 
36	0	0	35	 17.8	  0.0 
37	0	0	36	 17.1	  0.0 
38	0	0	37	 17.1	  0.0 
39	0	0	38	 16.6	  0.0 
40	0	0	39	 16.3	  0.0 
41	0	0	40	 17.3	  0.0 
42	0	0	41	 12.3	  0.0 
43	0	0	42	 20.9	  0.0 
44	0	0	43	 17.3	  0.0 
45	0	0	44	 14.9	  0.0 
46	0	0	45	 18.9	  0.0 
47	0	0	46	 17.2	  0.0 
48	0	0	47	 14.7	  0.0 
49	0	0	48	 17.4	  0.0 
50	0	0	49	 18.2	  0.0 
51	0	0	50	 17.2	  0.0 
52	0	0	51	 19.3	  0.0 
53	0	0	52	 14.8	  0.0 
54	0	0	53	 16.7	  0.0 
55	0	0	54	 15.2	  0.0 
56	0	0	55	 19.7	  0.0 
57	0	0	56	 17.4	  0.0 
58	0	0	57	 12.5	  0.0 
59	0	0	58	 14.2	  0.0 
60	0	0	59	 16.8	  0.0 
61	0	1	0	 22.1	  0.0 
62	0	1	1	 91.9	  0.0 
63	0	1	2	 82.8	  0.0 
64	0	1	3	 68.6	  0.0 
65	0	1	4	 45.3	  0.0 
66	0	1	5	 63.1	  0.0 
67	0	1	6	 95.9	  0.0 
68	0	1	7	 55.6	  0.0 
69	0	1	8	 70.7	  0.0 
70	0	1	9	 98.0	  0.0 
71	0	1	10	 78.1	  0.0 
72	0	1	11	 39.4	  0.0 
73	0	1	12	118.6	  0.0 
74	0	1	13	 63.5	  0.0 
75	0	1	14	 73.8	  0.0 
76	0	1	15	103.1	  0.0 
77	0	1	16	 81.9	  0.0 
78	0	1	17	 34.8	  0.0 
79	0	1	18	 66.4	  0.0 
80	0	1	19	 95.1	  0.0 
81	0	1	20	 94.9	  0.0 
82	0	1	21	 72.2	  0.0 
83	0	1	22	 84.2	  0.0 
84	0	1	23	 70.0	  0.0 
85	0	1	24	 52.3	  0.0 
86	0	1	25	145.4	  0.0 
87	0	1	26	109.4	  0.0 
88	0	1	27	 82.2	  0.0 
89	0	1	28	120.8	  0.0 
90	0	1	29	115.0	  0.0 
91	0	1	30	116.6	  0.0 
92	0	1	31	109.5	  0.0 
93	0	1	32	147.8	  0.0 
94	0	1	33	114.8	  0.0 
95	0	1	34	124.9	  0.0 
96	0	1	35	154.5	  0.0 
97	0	1	36	107.2	  0.0 
98	0	1	37	176.1	  0.0 
99	0	1	38	 89.5	  0.0 
100	0	1	39	 82.2	  0.0 
101	0	1	40	 80.3	  0.0 
102	0	1	41	 87.7	  0.0 
103	0	1	42	 86.6	  0.0 
104	0	1	43	 92.4	  0.0 
105	0	1	44	103.3	  0.0 
106	0	1	45	 80.4	  0.0 
107	0	1	46	 80.9	  0.0 
108	0	1	47	113.9	  0.0 
109	0	1	48	199.0	  0.0 
110	0	1	49	113.8	  0.0 
111	0	1	50	 97.0	  0.0 
112	0	1	51	128.8	  0.0 
113	0	1	52	164.5	  0.0 
114	0	1	53	 82.6	  0.0 
115	0	1	54	 58.3	  0.0 
116	0	1	55	 65.6	  0.0 
117	0	1	56	 74.0	  0.0 
118	0	1	57	 42.0	  0.0 
119	0	1	58	 76.8	  0.0 
120	0	1	59	 85.7	  0.0 
121	0	2	0	 42.3	  0.0 
122	0	2	1	 35.5	  0.0 
123	0	2	2	 92.6	  0.0 
124	0	2	3	 55.6	  0.0 
125	0	2	4	 54.5	  0.0 
