Subject name,
Gender,Female
Age,0
Comment,
Weather,
Temperature(F),
Pressure(hPa),
Humidity(%),
Measurement location,
Experimenter name,
Baud Rate,9600
Channel interval time (msec),122
Round interval time (sec),1
Round repeats number,1794
Total channels number got data,1
Start time,3/11/2026 3:27:23 PM
End time,3/11/2026 3:57:16 PM

BP(uA),,CH01
No,Time (hr:min:sec),LeftLU,Event messages
0,0:00:00,2419
1,0:00:01,2446
2,0:00:02,2444
3,0:00:03,2396
4,0:00:04,2446
5,0:00:05,2446
6,0:00:06,2477
7,0:00:07,2451
8,0:00:08,2447
9,0:00:09,2460
10,0:00:10,2456
11,0:00:11,2451
12,0:00:12,2457
13,0:00:13,2462
14,0:00:14,2439
15,0:00:15,2419
16,0:00:16,2428
17,0:00:17,2448
18,0:00:18,2423
19,0:00:19,2395
20,0:00:20,2407
21,0:00:21,2375
22,0:00:22,2383
23,0:00:23,2396
24,0:00:24,2403
25,0:00:25,2407
26,0:00:26,2364
27,0:00:27,2376
28,0:00:28,2401
29,0:00:29,2380
30,0:00:30,2414
31,0:00:31,2449
32,0:00:32,2455
33,0:00:33,2439
34,0:00:34,2433
35,0:00:35,2443
36,0:00:36,2441
37,0:00:37,2461
38,0:00:38,2428
39,0:00:39,2417
40,0:00:40,2449
41,0:00:41,2439
42,0:00:42,2430
43,0:00:43,2439
44,0:00:44,2419
45,0:00:45,2448
46,0:00:46,2430
47,0:00:47,2407
48,0:00:48,2400
49,0:00:49,2406
50,0:00:50,2371
51,0:00:51,2387
52,0:00:52,2385
53,0:00:53,2396
54,0:00:54,2364
55,0:00:55,2401
56,0:00:56,2413
57,0:00:57,2411
58,0:00:58,2411
59,0:00:59,2383
60,0:01:00,2440
61,0:01:01,2429
62,0:01:02,2435
63,0:01:03,2428
64,0:01:04,2446
65,0:01:05,2452
66,0:01:06,2467
67,0:01:07,2463
68,0:01:08,2449
69,0:01:09,2451
70,0:01:10,2423
71,0:01:11,2452
72,0:01:12,2403
73,0:01:13,2439
74,0:01:14,2455
75,0:01:15,2435
76,0:01:16,2459
77,0:01:17,2412
78,0:01:18,2415
79,0:01:19,2379
80,0:01:20,2412
81,0:01:21,2430
82,0:01:22,2400
83,0:01:23,2401
84,0:01:24,2363
85,0:01:25,2406
86,0:01:26,2394
87,0:01:27,2347
88,0:01:28,2415
89,0:01:29,2427
90,0:01:30,2400
91,0:01:31,2404
92,0:01:32,2416
93,0:01:33,2400
94,0:01:34,2411
95,0:01:35,2425
96,0:01:36,2423
97,0:01:37,2447
98,0:01:38,2457
99,0:01:39,2439
100,0:01:40,2454
101,0:01:41,2444
102,0:01:42,2440
103,0:01:43,2451
104,0:01:44,2463
105,0:01:45,2439
106,0:01:46,2449
107,0:01:47,2476
108,0:01:48,2471
109,0:01:49,2433
110,0:01:50,2406
111,0:01:51,2416
112,0:01:52,2424
113,0:01:53,2407
114,0:01:54,2416
115,0:01:55,2377
116,0:01:56,2409
117,0:01:57,2395
118,0:01:58,2407
119,0:01:59,2390
120,0:02:00,2396
121,0:02:01,2366
122,0:02:02,2413
123,0:02:03,2395
124,0:02:04,2412
125,0:02:05,2449
126,0:02:06,2438
127,0:02:07,2419
128,0:02:08,2398
129,0:02:09,2401
130,0:02:10,2441
131,0:02:11,2467
132,0:02:12,2451
133,0:02:13,2424
134,0:02:14,2457
135,0:02:15,2475
136,0:02:16,2479
137,0:02:17,2476
138,0:02:18,2467
139,0:02:19,2461
140,0:02:20,2448
141,0:02:21,2455
142,0:02:22,2460
143,0:02:23,2409
144,0:02:24,2455
145,0:02:25,2406
146,0:02:26,2385
147,0:02:27,2435
148,0:02:28,2411
149,0:02:29,2433
150,0:02:30,2403
151,0:02:31,2379
152,0:02:32,2398
153,0:02:33,2385
154,0:02:34,2411
155,0:02:35,2423
156,0:02:36,2412
157,0:02:37,2412
158,0:02:38,2443
159,0:02:39,2419
160,0:02:40,2431
161,0:02:41,2439
162,0:02:42,2440
163,0:02:43,2467
164,0:02:44,2471
165,0:02:45,2449
166,0:02:46,2463
167,0:02:47,2447
168,0:02:48,2471
169,0:02:49,2430
170,0:02:50,2441
171,0:02:51,2428
172,0:02:52,2459
173,0:02:53,2478
174,0:02:54,2447
175,0:02:55,2440
176,0:02:56,2428
177,0:02:57,2446
178,0:02:58,2425
179,0:02:59,2433
180,0:03:00,2400
181,0:03:01,2400
182,0:03:02,2411
183,0:03:03,2415
184,0:03:04,2392
185,0:03:05,2400
186,0:03:06,2412
187,0:03:07,2383
188,0:03:08,2415
189,0:03:09,2419
190,0:03:10,2431
191,0:03:11,2419
192,0:03:12,2440
193,0:03:13,2428
194,0:03:14,2414
195,0:03:15,2446
196,0:03:16,2421
197,0:03:17,2449
198,0:03:18,2448
199,0:03:19,2452
200,0:03:20,2456
201,0:03:21,2462
202,0:03:22,2457
203,0:03:23,2453
204,0:03:24,2456
205,0:03:25,2467
206,0:03:26,2435
207,0:03:27,2430
208,0:03:28,2423
209,0:03:29,2411
210,0:03:30,2392
211,0:03:31,2401
212,0:03:32,2409
213,0:03:33,2415
214,0:03:34,2407
215,0:03:35,2412
216,0:03:36,2400
217,0:03:37,2398
218,0:03:38,2419
219,0:03:39,2419
220,0:03:40,2445
221,0:03:41,2439
222,0:03:42,2447
223,0:03:43,2404
224,0:03:44,2441
225,0:03:45,2483
226,0:03:46,2476
227,0:03:47,2427
228,0:03:48,2463
229,0:03:49,2451
230,0:03:50,2454
231,0:03:51,2447
232,0:03:52,2456
233,0:03:53,2479
234,0:03:54,2471
235,0:03:55,2459
236,0:03:56,2455
237,0:03:57,2416
238,0:03:58,2438
239,0:03:59,2424
240,0:04:00,2415
241,0:04:01,2406
242,0:04:02,2403
243,0:04:03,2406
244,0:04:04,2402
245,0:04:05,2385
246,0:04:06,2403
247,0:04:07,2390
248,0:04:08,2407
249,0:04:09,2395
250,0:04:10,2428
251,0:04:11,2445
252,0:04:12,2426
253,0:04:13,2460
254,0:04:14,2435
255,0:04:15,2471
256,0:04:16,2444
257,0:04:17,2473
258,0:04:18,2456
259,0:04:19,2447
260,0:04:20,2467
261,0:04:21,2451
262,0:04:22,2456
263,0:04:23,2433
264,0:04:24,2423
265,0:04:25,2433
266,0:04:26,2407
267,0:04:27,2390
268,0:04:28,2412
269,0:04:29,2427
270,0:04:30,2403
271,0:04:31,2408
272,0:04:32,2403
273,0:04:33,2403
274,0:04:34,2396
275,0:04:35,2385
276,0:04:36,2412
277,0:04:37,2417
278,0:04:38,2415
279,0:04:39,2415
280,0:04:40,2445
281,0:04:41,2419
282,0:04:42,2419
283,0:04:43,2399
284,0:04:44,2438
285,0:04:45,2440
286,0:04:46,2428
287,0:04:47,2459
288,0:04:48,2435
289,0:04:49,2481
290,0:04:50,2430
291,0:04:51,2451
292,0:04:52,2407
293,0:04:53,2484
294,0:04:54,2440
295,0:04:55,2455
296,0:04:56,2449
297,0:04:57,2423
298,0:04:58,2424
299,0:04:59,2408
300,0:05:00,2377
301,0:05:01,2424
302,0:05:02,2428
303,0:05:03,2403
304,0:05:04,2408
305,0:05:05,2403
306,0:05:06,2404
307,0:05:07,2416
308,0:05:08,2414
309,0:05:09,2428
310,0:05:10,2417
311,0:05:11,2428
312,0:05:12,2438
313,0:05:13,2424
314,0:05:14,2471
315,0:05:15,2454
316,0:05:16,2444
317,0:05:17,2444
318,0:05:18,2451
319,0:05:19,2478
320,0:05:20,2470
321,0:05:21,2427
322,0:05:22,2456
323,0:05:23,2476
324,0:05:24,2444
325,0:05:25,2447
326,0:05:26,2446
327,0:05:27,2459
328,0:05:28,2439
329,0:05:29,2447
330,0:05:30,2460
331,0:05:31,2444
332,0:05:32,2448
333,0:05:33,2416
334,0:05:34,2444
335,0:05:35,2465
336,0:05:36,2452
337,0:05:37,2455
338,0:05:38,2425
339,0:05:39,2444
340,0:05:40,2425
341,0:05:41,2448
342,0:05:42,2447
343,0:05:43,2481
344,0:05:44,2419
345,0:05:45,2451
346,0:05:46,2478
347,0:05:47,2455
348,0:05:48,2444
349,0:05:49,2448
350,0:05:50,2451
351,0:05:51,2461
352,0:05:52,2435
353,0:05:53,2446
354,0:05:54,2464
355,0:05:55,2447
356,0:05:56,2447
357,0:05:57,2472
358,0:05:58,2465
359,0:05:59,2439
360,0:06:00,2463
361,0:06:01,2471
362,0:06:02,2428
363,0:06:03,2416
364,0:06:04,2444
365,0:06:05,2463
366,0:06:06,2471
367,0:06:07,2408
368,0:06:08,2441
369,0:06:09,2452
370,0:06:10,2456
371,0:06:11,2439
372,0:06:12,2452
373,0:06:13,2471
374,0:06:14,2441
375,0:06:15,2447
376,0:06:16,2457
377,0:06:17,2457
378,0:06:18,2422
379,0:06:19,2452
380,0:06:20,2449
381,0:06:21,2451
382,0:06:22,2454
383,0:06:23,2460
384,0:06:24,2444
385,0:06:25,2449
386,0:06:26,2444
387,0:06:27,2448
388,0:06:28,2471
389,0:06:29,2455
390,0:06:30,2449
391,0:06:31,2446
392,0:06:32,2430
393,0:06:33,2464
394,0:06:34,2465
395,0:06:35,2452
396,0:06:36,2460
397,0:06:37,2451
398,0:06:38,2462
399,0:06:39,2424
400,0:06:40,2460
401,0:06:41,2502
402,0:06:42,2449
403,0:06:43,2472
404,0:06:44,2456
405,0:06:45,2468
406,0:06:46,2444
407,0:06:47,2479
408,0:06:48,2451
409,0:06:49,2423
410,0:06:50,2455
411,0:06:51,2467
412,0:06:52,2446
413,0:06:53,2467
414,0:06:54,2488
415,0:06:55,2470
416,0:06:56,2459
417,0:06:57,2453
418,0:06:58,2449
419,0:06:59,2478
420,0:07:00,2461
421,0:07:01,2467
422,0:07:02,2451
423,0:07:03,2451
424,0:07:04,2459
425,0:07:05,2451
426,0:07:06,2460
427,0:07:07,2463
428,0:07:08,2447
429,0:07:09,2471
430,0:07:10,2455
431,0:07:11,2472
432,0:07:12,2463
433,0:07:13,2459
434,0:07:14,2495
435,0:07:15,2443
436,0:07:16,2468
437,0:07:17,2460
438,0:07:18,2460
439,0:07:19,2492
440,0:07:20,2467
441,0:07:21,2500
442,0:07:22,2480
443,0:07:23,2441
444,0:07:24,2455
445,0:07:25,2456
446,0:07:26,2435
447,0:07:27,2492
448,0:07:28,2451
449,0:07:29,2470
450,0:07:30,2451
451,0:07:31,2455
452,0:07:32,2424
453,0:07:33,2431
454,0:07:34,2438
455,0:07:35,2407
456,0:07:36,2427
457,0:07:37,2378
458,0:07:38,2416
459,0:07:39,2419
460,0:07:40,2400
461,0:07:41,2417
462,0:07:42,2407
463,0:07:43,2398
464,0:07:44,2417
465,0:07:45,2447
466,0:07:46,2419
467,0:07:47,2407
468,0:07:48,2412
469,0:07:49,2431
470,0:07:50,2419
471,0:07:51,2401
472,0:07:52,2403
473,0:07:53,2407
474,0:07:54,2428
475,0:07:55,2407
476,0:07:56,2408
477,0:07:57,2400
478,0:07:58,2391
479,0:07:59,2367
480,0:08:00,2392
481,0:08:01,2406
482,0:08:02,2407
483,0:08:03,2412
484,0:08:04,2391
485,0:08:05,2422
486,0:08:06,2407
487,0:08:07,2439
488,0:08:08,2410
489,0:08:09,2390
490,0:08:10,2383
491,0:08:11,2379
492,0:08:12,2388
493,0:08:13,2387
494,0:08:14,2383
495,0:08:15,2384
496,0:08:16,2396
497,0:08:17,2398
498,0:08:18,2416
499,0:08:19,2433
500,0:08:20,2419
501,0:08:21,2423
502,0:08:22,2428
503,0:08:23,2396
504,0:08:24,2436
505,0:08:25,2440
506,0:08:26,2455
507,0:08:27,2425
508,0:08:28,2439
509,0:08:29,2414
510,0:08:30,2456
511,0:08:31,2431
512,0:08:32,2419
513,0:08:33,2407
514,0:08:34,2424
515,0:08:35,2392
516,0:08:36,2401
517,0:08:37,2391
518,0:08:38,2400
519,0:08:39,2409
520,0:08:40,2409
521,0:08:41,2431
522,0:08:42,2419
523,0:08:43,2434
524,0:08:44,2419
