              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 16:01:16 (11/3/2026) 
DRT4 Serial Number: #3173 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	140.4 
2	0	0	1	150.5 
3	0	0	2	155.4 
4	0	0	3	169.0 
5	0	0	4	163.3 
6	0	0	5	153.0 
7	0	0	6	105.3 
8	0	0	7	 91.6 
9	0	0	8	 83.6 
10	0	0	9	 89.2 
11	0	0	10	 90.1 
12	0	0	11	 87.1 
13	0	0	12	 81.0 
14	0	0	13	 82.4 
15	0	0	14	 90.7 
16	0	0	15	 99.7 
17	0	0	16	108.4 
18	0	0	17	115.8 
19	0	0	18	118.0 
20	0	0	19	 98.1 
21	0	0	20	101.9 
22	0	0	21	 98.5 
23	0	0	22	109.2 
24	0	0	23	108.8 
25	0	0	24	114.1 
26	0	0	25	114.5 
27	0	0	26	121.1 
28	0	0	27	117.4 
29	0	0	28	109.7 
30	0	0	29	101.0 
31	0	0	30	115.2 
32	0	0	31	135.7 
33	0	0	32	141.6 
34	0	0	33	145.6 
35	0	0	34	153.2 
36	0	0	35	144.8 
37	0	0	36	154.3 
38	0	0	37	142.5 
39	0	0	38	130.9 
40	0	0	39	137.9 
41	0	0	40	141.5 
42	0	0	41	148.1 
43	0	0	42	153.2 
44	0	0	43	159.3 
45	0	0	44	173.6 
46	0	0	45	179.1 
47	0	0	46	190.6 
48	0	0	47	188.5 
49	0	0	48	194.6 
50	0	0	49	190.3 
51	0	0	50	182.1 
52	0	0	51	190.2 
53	0	0	52	183.0 
54	0	0	53	179.2 
55	0	0	54	185.4 
56	0	0	55	182.2 
57	0	0	56	187.9 
58	0	0	57	191.8 
59	0	0	58	191.9 
60	0	0	59	186.3 
61	0	1	0	201.3 
62	0	1	1	193.0 
63	0	1	2	115.8 
64	0	1	3	 96.4 
65	0	1	4	 91.2 
66	0	1	5	 96.9 
67	0	1	6	 95.2 
68	0	1	7	 89.0 
69	0	1	8	 97.4 
70	0	1	9	104.8 
71	0	1	10	102.6 
72	0	1	11	124.8 
73	0	1	12	125.3 
74	0	1	13	129.7 
75	0	1	14	111.4 
76	0	1	15	 94.4 
77	0	1	16	 88.1 
78	0	1	17	 76.5 
79	0	1	18	 72.6 
80	0	1	19	 53.4 
81	0	1	20	 53.1 
82	0	1	21	 50.9 
83	0	1	22	 58.9 
84	0	1	23	 61.7 
85	0	1	24	 68.1 
86	0	1	25	 74.7 
