              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 11:11:48 (13/3/2026)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	110.2 
2	0	0	1	117.6 
3	0	0	2	138.4 
4	0	0	3	135.5 
5	0	0	4	130.6 
6	0	0	5	105.6 
7	0	0	6	 88.2 
8	0	0	7	 81.2 
9	0	0	8	 73.5 
10	0	0	9	 59.7 
11	0	0	10	 77.1 
12	0	0	11	 64.1 
13	0	0	12	 69.8 
14	0	0	13	 64.4 
15	0	0	14	 68.2 
16	0	0	15	 69.7 
17	0	0	16	 65.3 
18	0	0	17	 71.0 
19	0	0	18	 69.5 
20	0	0	19	 77.3 
21	0	0	20	 65.5 
22	0	0	21	 63.9 
23	0	0	22	 59.7 
24	0	0	23	 70.1 
25	0	0	24	 79.7 
26	0	0	25	 89.4 
27	0	0	26	 79.3 
28	0	0	27	 87.1 
29	0	0	28	 81.1 
30	0	0	29	 97.2 
31	0	0	30	 89.9 
32	0	0	31	 99.7 
33	0	0	32	 96.1 
34	0	0	33	 78.3 
35	0	0	34	 81.6 
36	0	0	35	 69.5 
37	0	0	36	 67.3 
38	0	0	37	 69.8 
39	0	0	38	 68.7 
40	0	0	39	 81.8 
41	0	0	40	 78.8 
42	0	0	41	 71.4 
43	0	0	42	 68.9 
44	0	0	43	 62.9 
45	0	0	44	 54.6 
46	0	0	45	 47.8 
47	0	0	46	 45.5 
48	0	0	47	 41.3 
49	0	0	48	 33.3 
50	0	0	49	 52.0 
51	0	0	50	 64.7 
52	0	0	51	 61.6 
53	0	0	52	 60.9 
54	0	0	53	 55.6 
55	0	0	54	 72.6 
56	0	0	55	 85.7 
57	0	0	56	 83.2 
58	0	0	57	 77.7 
59	0	0	58	110.9 
60	0	0	59	111.6 
61	0	1	0	109.9 
62	0	1	1	113.2 
63	0	1	2	 99.2 
64	0	1	3	 83.4 
65	0	1	4	 83.7 
66	0	1	5	 70.2 
67	0	1	6	 66.6 
68	0	1	7	 65.1 
69	0	1	8	 62.9 
70	0	1	9	 73.8 
71	0	1	10	 66.3 
72	0	1	11	 69.2 
73	0	1	12	 68.7 
74	0	1	13	 62.7 
75	0	1	14	 59.4 
76	0	1	15	 90.8 
77	0	1	16	 78.7 
78	0	1	17	 82.2 
79	0	1	18	 86.5 
80	0	1	19	109.3 
81	0	1	20	 89.0 
82	0	1	21	 88.8 
83	0	1	22	 68.1 
84	0	1	23	 73.5 
85	0	1	24	 69.7 
86	0	1	25	 59.6 
87	0	1	26	 69.4 
88	0	1	27	 72.1 
89	0	1	28	 60.4 
90	0	1	29	 53.8 
91	0	1	30	 44.2 
92	0	1	31	 49.7 
93	0	1	32	 65.9 
94	0	1	33	 82.8 
95	0	1	34	 71.9 
96	0	1	35	 63.9 
97	0	1	36	 46.4 
98	0	1	37	 41.1 
99	0	1	38	 31.2 
100	0	1	39	 45.8 
101	0	1	40	 34.7 
102	0	1	41	 53.1 
103	0	1	42	 48.2 
104	0	1	43	 48.6 
105	0	1	44	 38.4 
106	0	1	45	 34.8 
107	0	1	46	 45.2 
108	0	1	47	 32.2 
109	0	1	48	 46.2 
110	0	1	49	 70.2 
111	0	1	50	 78.9 
112	0	1	51	 67.0 
113	0	1	52	 74.9 
114	0	1	53	 66.9 
115	0	1	54	 57.3 
116	0	1	55	 51.4 
117	0	1	56	 44.2 
118	0	1	57	 38.8 
119	0	1	58	 41.6 
120	0	1	59	 51.6 
121	0	2	0	 57.7 
122	0	2	1	 57.5 
123	0	2	2	 59.7 
124	0	2	3	 51.9 
125	0	2	4	 49.7 
126	0	2	5	 45.7 
127	0	2	6	 45.3 
128	0	2	7	 53.3 
129	0	2	8	 46.0 
130	0	2	9	 51.2 
131	0	2	10	 47.9 
132	0	2	11	 60.0 
133	0	2	12	 64.9 
134	0	2	13	 56.8 
135	0	2	14	 56.7 
136	0	2	15	 70.2 
137	0	2	16	 51.5 
138	0	2	17	 59.8 
139	0	2	18	 52.5 
140	0	2	19	 56.6 
141	0	2	20	 62.7 
142	0	2	21	 52.1 
143	0	2	22	 58.1 
144	0	2	23	 60.3 
145	0	2	24	 60.2 
146	0	2	25	 77.6 
147	0	2	26	 72.8 
148	0	2	27	 79.3 
149	0	2	28	 63.8 
150	0	2	29	 56.4 
151	0	2	30	 44.8 
152	0	2	31	 49.0 
153	0	2	32	 45.4 
154	0	2	33	 36.7 
155	0	2	34	 36.4 
156	0	2	35	 42.4 
157	0	2	36	 35.7 
158	0	2	37	 30.9 
159	0	2	38	 44.3 
160	0	2	39	 35.1 
161	0	2	40	 30.0 
162	0	2	41	 17.8 
163	0	2	42	 16.9 
164	0	2	43	 22.2 
165	0	2	44	 24.8 
166	0	2	45	 22.9 
167	0	2	46	 33.7 
168	0	2	47	 30.0 
169	0	2	48	 22.4 
170	0	2	49	 34.3 
171	0	2	50	 33.9 
172	0	2	51	 29.8 
173	0	2	52	 29.3 
174	0	2	53	 34.2 
175	0	2	54	 27.8 
176	0	2	55	 27.5 
177	0	2	56	 47.1 
178	0	2	57	 52.1 
179	0	2	58	 52.9 
180	0	2	59	 76.4 
181	0	3	0	 91.6 
182	0	3	1	104.2 
183	0	3	2	115.1 
184	0	3	3	 93.3 
185	0	3	4	 88.5 
186	0	3	5	 85.9 
187	0	3	6	 83.2 
188	0	3	7	 85.8 
189	0	3	8	113.2 
190	0	3	9	 78.6 
191	0	3	10	137.9 
192	0	3	11	100.8 
193	0	3	12	103.2 
194	0	3	13	 83.8 
195	0	3	14	 78.5 
196	0	3	15	 86.9 
197	0	3	16	109.2 
198	0	3	17	122.3 
199	0	3	18	108.8 
200	0	3	19	106.1 
201	0	3	20	 82.9 
202	0	3	21	 64.9 
203	0	3	22	 71.5 
204	0	3	23	 62.7 
205	0	3	24	 60.6 
206	0	3	25	 67.4 
207	0	3	26	117.4 
208	0	3	27	141.7 
209	0	3	28	106.1 
210	0	3	29	114.1 
211	0	3	30	102.1 
212	0	3	31	 92.6 
213	0	3	32	106.4 
214	0	3	33	 93.8 
215	0	3	34	106.9 
216	0	3	35	 71.1 
217	0	3	36	 75.1 
218	0	3	37	 63.3 
219	0	3	38	 72.9 
220	0	3	39	 77.8 
221	0	3	40	 98.5 
222	0	3	41	 90.2 
223	0	3	42	 67.5 
224	0	3	43	 62.7 
225	0	3	44	 76.1 
226	0	3	45	 73.2 
227	0	3	46	168.7 
228	0	3	47	318.6 
229	0	3	48	160.1 
230	0	3	49	108.9 
231	0	3	50	127.4 
232	0	3	51	130.6 
233	0	3	52	187.4 
234	0	3	53	148.0 
235	0	3	54	 96.1 
236	0	3	55	 88.2 
237	0	3	56	 85.0 
238	0	3	57	 76.8 
239	0	3	58	 68.0 
240	0	3	59	 92.8 
241	0	4	0	 85.2 
242	0	4	1	105.0 
243	0	4	2	114.1 
244	0	4	3	121.7 
245	0	4	4	135.0 
246	0	4	5	166.2 
247	0	4	6	177.7 
248	0	4	7	158.8 
249	0	4	8	155.8 
250	0	4	9	146.2 
251	0	4	10	124.8 
252	0	4	11	117.7 
253	0	4	12	 91.9 
254	0	4	13	 97.4 
255	0	4	14	 87.6 
256	0	4	15	 69.8 
257	0	4	16	 70.2 
258	0	4	17	 72.3 
259	0	4	18	 58.0 
260	0	4	19	 65.8 
261	0	4	20	 59.5 
262	0	4	21	 74.0 
263	0	4	22	 77.1 
264	0	4	23	 78.8 
265	0	4	24	100.1 
266	0	4	25	102.6 
267	0	4	26	103.0 
268	0	4	27	 97.0 
269	0	4	28	 91.7 
270	0	4	29	 91.0 
271	0	4	30	 87.0 
272	0	4	31	 61.1 
273	0	4	32	 52.9 
274	0	4	33	 73.8 
275	0	4	34	153.3 
276	0	4	35	 90.8 
277	0	4	36	 75.1 
278	0	4	37	132.4 
279	0	4	38	126.3 
280	0	4	39	140.7 
281	0	4	40	154.2 
282	0	4	41	123.5 
283	0	4	42	110.8 
284	0	4	43	137.3 
285	0	4	44	 94.9 
286	0	4	45	 74.9 
287	0	4	46	 67.5 
288	0	4	47	 68.5 
289	0	4	48	 70.0 
290	0	4	49	 74.6 
291	0	4	50	 59.9 
292	0	4	51	 64.3 
293	0	4	52	 60.8 
294	0	4	53	 57.5 
295	0	4	54	 51.6 
296	0	4	55	 50.8 
297	0	4	56	 44.2 
298	0	4	57	 41.1 
299	0	4	58	 57.3 
300	0	4	59	 73.3 
301	0	5	0	 76.3 
302	0	5	1	 95.9 
303	0	5	2	107.4 
304	0	5	3	 98.5 
305	0	5	4	104.4 
306	0	5	5	 96.3 
307	0	5	6	100.6 
308	0	5	7	102.4 
309	0	5	8	 96.0 
310	0	5	9	 75.1 
311	0	5	10	 72.9 
312	0	5	11	 79.6 
313	0	5	12	105.1 
314	0	5	13	171.4 
315	0	5	14	132.0 
316	0	5	15	100.5 
317	0	5	16	105.0 
318	0	5	17	131.8 
319	0	5	18	163.9 
320	0	5	19	179.6 
321	0	5	20	132.9 
322	0	5	21	114.7 
323	0	5	22	116.4 
324	0	5	23	120.9 
325	0	5	24	103.7 
326	0	5	25	 81.4 
327	0	5	26	 70.6 
328	0	5	27	102.2 
329	0	5	28	 98.4 
330	0	5	29	121.1 
331	0	5	30	 95.5 
332	0	5	31	 87.5 
333	0	5	32	 86.6 
334	0	5	33	 86.0 
335	0	5	34	103.2 
336	0	5	35	109.3 
337	0	5	36	134.9 
338	0	5	37	132.9 
339	0	5	38	147.8 
340	0	5	39	110.5 
341	0	5	40	 81.2 
342	0	5	41	 61.4 
343	0	5	42	 54.8 
344	0	5	43	 51.6 
345	0	5	44	 87.4 
346	0	5	45	 90.3 
347	0	5	46	 64.7 
348	0	5	47	 59.0 
349	0	5	48	 55.3 
350	0	5	49	 72.9 
351	0	5	50	 78.2 
352	0	5	51	 78.8 
353	0	5	52	 85.6 
354	0	5	53	108.8 
355	0	5	54	128.7 
356	0	5	55	185.9 
357	0	5	56	 92.0 
358	0	5	57	 87.8 
359	0	5	58	102.6 
360	0	5	59	 98.7 
361	0	6	0	101.2 
362	0	6	1	 85.0 
363	0	6	2	 63.0 
364	0	6	3	 55.2 
365	0	6	4	 55.6 
366	0	6	5	 59.1 
367	0	6	6	 51.0 
368	0	6	7	 60.5 
369	0	6	8	 73.8 
370	0	6	9	 92.6 
371	0	6	10	106.1 
372	0	6	11	112.1 
373	0	6	12	120.7 
374	0	6	13	115.1 
375	0	6	14	115.6 
