              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 13:35:32 (12/3/2026) 
DRT4 Serial Number: #3173 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	 85.7 
2	0	0	1	 87.6 
3	0	0	2	 91.5 
4	0	0	3	 93.8 
5	0	0	4	 89.5 
6	0	0	5	 92.1 
7	0	0	6	108.5 
8	0	0	7	 95.7 
9	0	0	8	 88.5 
10	0	0	9	 69.2 
11	0	0	10	 58.1 
12	0	0	11	 65.3 
13	0	0	12	 78.5 
14	0	0	13	 80.5 
15	0	0	14	 90.8 
16	0	0	15	 80.7 
17	0	0	16	 74.7 
18	0	0	17	 59.9 
19	0	0	18	 42.8 
20	0	0	19	 33.4 
21	0	0	20	 30.9 
22	0	0	21	 38.3 
23	0	0	22	 54.0 
24	0	0	23	 61.3 
25	0	0	24	 54.7 
26	0	0	25	 52.8 
27	0	0	26	 59.0 
28	0	0	27	 55.2 
29	0	0	28	 60.4 
30	0	0	29	 64.5 
31	0	0	30	 73.6 
32	0	0	31	 86.7 
33	0	0	32	 99.7 
34	0	0	33	117.1 
35	0	0	34	118.6 
36	0	0	35	130.2 
37	0	0	36	137.3 
38	0	0	37	146.9 
39	0	0	38	150.8 
40	0	0	39	159.6 
41	0	0	40	153.7 
42	0	0	41	154.7 
43	0	0	42	144.0 
44	0	0	43	138.4 
45	0	0	44	143.5 
46	0	0	45	146.3 
47	0	0	46	135.8 
48	0	0	47	143.8 
49	0	0	48	107.4 
50	0	0	49	 77.4 
51	0	0	50	 62.2 
52	0	0	51	 56.6 
53	0	0	52	 61.0 
54	0	0	53	 68.0 
55	0	0	54	 83.0 
56	0	0	55	 92.3 
57	0	0	56	104.7 
58	0	0	57	101.1 
59	0	0	58	119.8 
60	0	0	59	 90.8 
61	0	1	0	 72.9 
62	0	1	1	 60.5 
63	0	1	2	 57.2 
64	0	1	3	 62.0 
65	0	1	4	 61.2 
66	0	1	5	 63.2 
67	0	1	6	 76.2 
68	0	1	7	 67.7 
69	0	1	8	 78.2 
70	0	1	9	 71.2 
71	0	1	10	 57.0 
72	0	1	11	 57.3 
73	0	1	12	 70.0 
74	0	1	13	 67.7 
75	0	1	14	 72.8 
76	0	1	15	 97.9 
77	0	1	16	104.2 
78	0	1	17	116.1 
79	0	1	18	110.3 
80	0	1	19	111.6 
81	0	1	20	106.5 
82	0	1	21	 96.9 
83	0	1	22	 82.1 
84	0	1	23	 86.9 
85	0	1	24	 97.5 
86	0	1	25	 89.9 
87	0	1	26	102.3 
88	0	1	27	112.4 
89	0	1	28	 95.2 
90	0	1	29	 85.5 
91	0	1	30	 80.3 
92	0	1	31	 92.3 
93	0	1	32	 53.5 
94	0	1	33	 30.8 
95	0	1	34	 14.7 
96	0	1	35	 14.4 
97	0	1	36	 15.6 
98	0	1	37	  9.8 
99	0	1	38	  9.3 
100	0	1	39	 16.8 
101	0	1	40	 20.9 
102	0	1	41	 27.6 
103	0	1	42	 50.3 
104	0	1	43	 44.0 
105	0	1	44	 56.1 
106	0	1	45	 53.6 
107	0	1	46	 62.9 
108	0	1	47	 59.8 
109	0	1	48	 67.7 
110	0	1	49	 75.4 
111	0	1	50	 65.7 
112	0	1	51	 57.2 
113	0	1	52	 47.3 
114	0	1	53	 41.9 
115	0	1	54	 46.8 
116	0	1	55	 63.7 
117	0	1	56	 61.8 
118	0	1	57	 71.0 
119	0	1	58	 84.2 
120	0	1	59	101.7 
121	0	2	0	120.0 
122	0	2	1	119.2 
123	0	2	2	114.3 
124	0	2	3	110.9 
125	0	2	4	146.9 
126	0	2	5	160.1 
127	0	2	6	185.1 
128	0	2	7	179.8 
129	0	2	8	179.0 
130	0	2	9	167.5 
131	0	2	10	193.5 
132	0	2	11	218.1 
133	0	2	12	197.8 
134	0	2	13	190.1 
135	0	2	14	176.3 
136	0	2	15	129.5 
137	0	2	16	101.6 
138	0	2	17	 80.0 
139	0	2	18	 98.4 
140	0	2	19	 85.1 
141	0	2	20	 74.9 
142	0	2	21	 82.8 
143	0	2	22	 85.5 
144	0	2	23	 95.6 
145	0	2	24	104.9 
146	0	2	25	106.5 
147	0	2	26	115.8 
148	0	2	27	 99.7 
149	0	2	28	100.3 
150	0	2	29	111.7 
151	0	2	30	178.1 
152	0	2	31	418.6 
153	0	2	32	317.6 
154	0	2	33	186.5 
155	0	2	34	154.2 
156	0	2	35	182.3 
157	0	2	36	177.9 
158	0	2	37	160.4 
159	0	2	38	159.5 
160	0	2	39	142.1 
161	0	2	40	137.1 
162	0	2	41	135.8 
163	0	2	42	128.0 
164	0	2	43	123.0 
165	0	2	44	156.8 
166	0	2	45	143.3 
167	0	2	46	133.2 
168	0	2	47	123.7 
169	0	2	48	111.7 
170	0	2	49	109.6 
171	0	2	50	105.5 
172	0	2	51	106.1 
173	0	2	52	 85.0 
174	0	2	53	109.3 
175	0	2	54	117.4 
176	0	2	55	104.5 
177	0	2	56	 75.7 
178	0	2	57	 74.6 
